"",BBQFS.M.DE.CORP.PX_BOOK_DAX._X.0000,BBQFS.M.DE.CORP.PX_BOOK_DAX._X.0000_FLAGS
"",Price-to-book value ratio DAX price index (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:23,
2005-01,1.51,
2005-02,1.54,
2005-03,1.49,
2005-04,1.42,
2005-05,1.50,
2005-06,1.49,
2005-07,1.58,
2005-08,1.57,
2005-09,1.55,
2005-10,1.52,
2005-11,1.60,
2005-12,1.68,
2006-01,1.74,
2006-02,1.78,
2006-03,1.71,
2006-04,1.71,
2006-05,1.62,
2006-06,1.66,
2006-07,1.66,
2006-08,1.71,
2006-09,1.75,
2006-10,1.79,
2006-11,1.80,
2006-12,1.90,
2007-01,1.84,
2007-02,1.82,
2007-03,1.85,
2007-04,1.88,
2007-05,1.97,
2007-06,2.00,
2007-07,1.93,
2007-08,1.94,
2007-09,2.00,
2007-10,2.03,
2007-11,1.99,
2007-12,1.98,
2008-01,1.68,
2008-02,1.65,
2008-03,1.66,
2008-04,1.74,
2008-05,1.75,
2008-06,1.64,
2008-07,1.66,
2008-08,1.64,
2008-09,1.53,
2008-10,1.31,
2008-11,1.23,
2008-12,1.34,
2009-01,1.20,
2009-02,1.06,
2009-03,1.14,
2009-04,1.31,
2009-05,1.32,
2009-06,1.31,
2009-07,1.45,
2009-08,1.48,
2009-09,1.50,
2009-10,1.43,
2009-11,1.48,
2009-12,1.53,
2010-01,1.44,
2010-02,1.44,
2010-03,1.48,
2010-04,1.46,
2010-05,1.39,
2010-06,1.35,
2010-07,1.40,
2010-08,1.35,
2010-09,1.41,
2010-10,1.47,
2010-11,1.49,
2010-12,1.50,
2011-01,1.53,
2011-02,1.58,
2011-03,1.51,
2011-04,1.60,
2011-05,1.52,
2011-06,1.56,
2011-07,1.51,
2011-08,1.22,
2011-09,1.14,
2011-10,1.27,
2011-11,1.26,
2011-12,1.22,
2012-01,1.29,
2012-02,1.38,
2012-03,1.40,
2012-04,1.32,
2012-05,1.20,
2012-06,1.23,
2012-07,1.32,
2012-08,1.36,
2012-09,1.41,
2012-10,1.42,
2012-11,1.44,
2012-12,1.50,
2013-01,1.53,
2013-02,1.52,
2013-03,1.54,
2013-04,1.50,
2013-05,1.56,
2013-06,1.44,
2013-07,1.58,
2013-08,1.55,
2013-09,1.61,
2013-10,1.70,
2013-11,1.77,
2013-12,1.77,
2014-01,1.72,
2014-02,1.79,
2014-03,1.75,
2014-04,1.75,
2014-05,1.78,
2014-06,1.79,
2014-07,1.70,
2014-08,1.72,
2014-09,1.61,
2014-10,1.59,
"",Source: Bloomberg,
