"",BBK01.OECM01R,BBK01.OECM01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:25,
2002-01,0.128,
2002-04,0.114,
2002-07,0.110,
2002-10,0.166,
2003-01,0.071,
2003-04,0.040,
2003-07,0.069,
2003-10,0.062,
2004-01,0.028,
2004-04,0.048,
2004-07,0.043,
2004-10,0.038,
2005-01,0.062,
2005-04,0.030,
2005-07,0.033,
2005-10,0.040,
2006-01,0.024,
2006-04,0.032,
2006-07,0.035,
2006-10,0.047,
2007-01,0.031,
2007-04,0.036,
2007-07,0.115,
2007-10,0.043,
2008-01,0.025,
2008-04,0.029,
2008-07,0.044,
2008-10,0.057,
2009-01,0.046,
2009-04,0.038,
2009-07,0.028,
2009-10,0.027,
2010-01,0.023,
2010-04,0.023,
2010-07,0.028,
2010-10,0.031,
2011-01,0.034,
2011-04,0.032,
2011-07,0.032,
2011-10,0.025,
2012-01,0.030,
2012-04,0.029,
2012-07,0.032,
2012-10,0.038,
2013-01,0.038,
2013-04,0.034,
2013-07,0.033,
2013-10,0.036,
2014-01,0.032,
2014-04,0.033,
2014-07,0.034,
