"",BBFB1.M.N.DE.W1.S1.S1.T.B.D1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Compensation of employees / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:07,
1991-01,174.674,
1991-02,175.696,
1991-03,176.561,
1991-04,135.484,
1991-05,136.507,
1991-06,135.325,
1991-07,124.000,
1991-08,114.285,
1991-09,104.923,
1991-10,177.071,
1991-11,158.153,
1991-12,122.686,
1992-01,130.488,
1992-02,92.653,
1992-03,93.731,
1992-04,70.483,
1992-05,71.505,
1992-06,23.557,
1992-07,31.080,
1992-08,36.530,
1992-09,41.361,
1992-10,119.236,
1992-11,110.544,
1992-12,39.322,
1993-01,60.646,
1993-02,61.708,
1993-03,66.162,
1993-04,10.017,
1993-05,11.487,
1993-06,14.333,
1993-07,-15.702,
1993-08,-15.173,
1993-09,-11.316,
1993-10,54.825,
1993-11,56.880,
1993-12,-8.521,
1994-01,67.276,
1994-02,67.586,
1994-03,68.366,
1994-04,5.697,
1994-05,6.335,
1994-06,6.714,
1994-07,-34.471,
1994-08,-33.542,
1994-09,-32.666,
1994-10,32.731,
1994-11,33.373,
1994-12,-43.140,
1995-01,5.753,
1995-02,7.399,
1995-03,7.684,
1995-04,-78.489,
1995-05,-76.572,
1995-06,-75.453,
1995-07,-118.441,
1995-08,-118.311,
1995-09,-115.895,
1995-10,-45.667,
1995-11,-45.230,
1995-12,-128.918,
1996-01,-4.523,
1996-02,-3.882,
1996-03,6.211,
1996-04,-114.565,
1996-05,-95.212,
1996-06,-107.955,
1996-07,-135.038,
1996-08,-146.481,
1996-09,-135.981,
1996-10,-48.201,
1996-11,-64.843,
1996-12,-132.621,
1997-01,8.135,
1997-02,-12.602,
1997-03,-7.907,
1997-04,-113.340,
1997-05,-93.525,
1997-06,-103.755,
1997-07,-168.661,
1997-08,-167.915,
1997-09,-184.097,
1997-10,-67.126,
1997-11,-92.373,
1997-12,-172.221,
1998-01,2.436,
1998-02,3.903,
1998-03,37.313,
1998-04,-96.728,
1998-05,-101.938,
1998-06,-101.820,
1998-07,-186.334,
1998-08,-187.745,
1998-09,-187.581,
1998-10,-69.603,
1998-11,-86.806,
1998-12,-141.196,
1999-01,-80.320,
1999-02,-105.567,
1999-03,-94.373,
1999-04,-200.406,
1999-05,-190.317,
1999-06,-197.470,
1999-07,-299.904,
1999-08,-296.048,
1999-09,-296.046,
1999-10,-251.784,
1999-11,-233.794,
1999-12,-289.707,
2000-01,-84.530,
2000-02,-80.537,
2000-03,-70.417,
2000-04,-184.053,
2000-05,-159.560,
2000-06,-183.051,
2000-07,-275.665,
2000-08,-263.183,
2000-09,-267.653,
2000-10,-155.031,
2000-11,-143.267,
2000-12,-177.565,
2001-01,-89.540,
2001-02,-90.587,
2001-03,-72.398,
2001-04,-250.840,
2001-05,-225.531,
2001-06,-229.306,
2001-07,-324.387,
2001-08,-318.138,
2001-09,-326.029,
2001-10,-157.044,
2001-11,-153.979,
2001-12,-179.988,
2002-01,-12.237,
2002-02,-28.208,
2002-03,-37.195,
2002-04,-253.682,
2002-05,-265.447,
2002-06,-272.301,
2002-07,-364.903,
2002-08,-359.713,
2002-09,-373.274,
2002-10,-102.687,
2002-11,-99.009,
2002-12,-116.015,
2003-01,5.651,
2003-02,-0.916,
2003-03,8.218,
2003-04,-215.956,
2003-05,-218.797,
2003-06,-219.845,
2003-07,-250.078,
2003-08,-266.380,
2003-09,-264.917,
2003-10,-123.290,
2003-11,-130.662,
2003-12,-115.598,
2004-01,0.644,
2004-02,-3.046,
2004-03,15.352,
2004-04,-226.644,
2004-05,-230.503,
2004-06,-218.761,
2004-07,-248.425,
2004-08,-258.252,
2004-09,-244.082,
2004-10,-104.624,
2004-11,-106.157,
2004-12,-114.870,
2005-01,25.376,
2005-02,16.586,
2005-03,27.664,
2005-04,-235.160,
2005-05,-237.247,
2005-06,-231.024,
2005-07,-326.073,
2005-08,-296.961,
2005-09,-324.202,
2005-10,-83.807,
2005-11,-76.949,
2005-12,-48.850,
2006-01,61.473,
2006-02,66.909,
2006-03,59.515,
2006-04,-173.715,
2006-05,-193.534,
2006-06,-173.938,
2006-07,-239.933,
2006-08,-239.374,
2006-09,-233.132,
2006-10,-63.799,
2006-11,-49.537,
2006-12,-26.202,
2007-01,149.511,
2007-02,139.606,
2007-03,157.734,
2007-04,-55.853,
2007-05,-52.327,
2007-06,-44.460,
2007-07,-182.316,
2007-08,-198.916,
2007-09,-191.780,
2007-10,46.315,
2007-11,29.662,
2007-12,62.438,
2008-01,155.618,
2008-02,182.899,
2008-03,175.941,
2008-04,-39.808,
2008-05,-9.041,
2008-06,-40.653,
2008-07,-143.500,
2008-08,-167.277,
2008-09,-153.704,
2008-10,78.192,
2008-11,58.268,
2008-12,118.594,
2009-01,192.446,
2009-02,230.266,
2009-03,256.575,
2009-04,21.299,
2009-05,13.205,
2009-06,12.423,
2009-07,-130.585,
2009-08,-120.775,
2009-09,-119.481,
2009-10,146.369,
2009-11,155.041,
2009-12,214.723,
2010-01,264.891,
2010-02,283.822,
2010-03,303.890,
2010-04,68.554,
2010-05,90.847,
2010-06,76.381,
2010-07,-81.214,
2010-08,-84.201,
2010-09,-79.392,
2010-10,221.627,
2010-11,201.066,
2010-12,291.043,
2011-01,351.438,
2011-02,350.211,
2011-03,372.146,
2011-04,121.123,
2011-05,128.833,
2011-06,119.000,
2011-07,-71.009,
2011-08,-70.906,
2011-09,-78.136,
2011-10,162.837,
2011-11,162.033,
2011-12,239.803,
2012-01,319.983,
2012-02,320.418,
2012-03,321.290,
2012-04,121.259,
2012-05,121.161,
2012-06,120.223,
2012-07,-60.883,
2012-08,-62.814,
2012-09,-61.904,
2012-10,429.649,
2012-11,425.047,
2012-12,600.415,
2013-01,199.870,
2013-02,225.301,
2013-03,192.762,
2013-04,-66.307,
2013-05,-52.606,
2013-06,-22.526,
2013-07,-181.507,
2013-08,-131.949,
2013-09,-160.090,
2013-10,100.680,
2013-11,115.742,
2013-12,134.387,
2014-01,198.884,
2014-02,202.321,
2014-03,203.736,
2014-04,-56.351,
2014-05,-46.035,
2014-06,-76.153,
2014-07,-182.534,
2014-08,-163.652,
2014-09,-174.005,
2014-10,72.411,
2014-11,34.425,
2014-12,100.937,Provisional value
