"",BBEX3.M.TMT.EUR.CA.AC.A01,BBEX3.M.TMT.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Turkmenistan / EUR 1 = TMT ... (middle),
unit,TMT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:22,
2009-01,3.6765,comment
2009-02,3.6295,
2009-03,3.7634,
2009-04,3.7592,
2009-05,3.9857,
2009-06,3.9857,
2009-07,4.0085,
2009-08,4.0755,
2009-09,4.1681,
2009-10,4.2251,
2009-11,4.3035,
2009-12,4.0869,
2010-01,3.9829,
2010-02,3.8675,
2010-03,3.8404,
2010-04,3.7748,
2010-05,3.4964,
2010-06,3.4727,
2010-07,3.7150,
2010-08,3.6266,
2010-09,3.8732,
2010-10,3.9401,
2010-11,3.7834,
2010-12,3.7737,
2011-01,3.8786,
2011-02,3.9196,
2011-03,4.0108,
2011-04,4.2280,
2011-05,4.0655,
2011-06,4.0955,
2011-07,4.0741,
2011-08,4.1428,
2011-09,3.8803,
2011-10,4.0316,
2011-11,3.8042,
2011-12,3.6908,
2012-01,3.7554,
2012-02,3.8284,
2012-03,3.8087,
2012-04,3.7768,
2012-05,3.5451,
2012-06,3.5431,
2012-07,3.4955,
2012-08,3.5782,
2012-09,3.6634,
2012-10,3.6853,
2012-11,3.6970,
2012-12,3.7646,
2013-01,3.8509,
2013-02,3.7278,
2013-03,3.6543,
2013-04,3.7287,
2013-05,3.6976,
2013-06,3.7127,
2013-07,3.7814,
2013-08,3.7728,
2013-09,3.8535,
2013-10,3.9207,
2013-11,3.8780,
2013-12,3.9162,
2014-01,3.8769,
2014-02,3.8917,
2014-03,3.9193,
2014-04,3.9524,
2014-05,3.8803,
2014-06,3.8894,
2014-07,3.8184,
2014-08,3.7634,
2014-09,3.6121,
2014-10,3.5853,
2014-11,3.5545,
2014-12,3.4670,
2015-01,3.9687,
"","General: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1; for exchange rates until 2008, see BBEX3:M:TMM:EUR:CA:AC:A01.",
"","Source: Central Bank of Turkmenistan, Ashgabat.",
"","Comment on 2009-01: Currency conversion with effect from 1 January 2009 at the rate of TMM 5,000 = TMT 1.",
