"",BBK01.OEAA32N,BBK01.OEAA32N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:14,
2002-01,1.028,
2002-04,1.022,
2002-07,1.015,
2002-10,1.002,
2003-01,0.992,
2003-04,0.972,
2003-07,0.970,
2003-10,0.942,
2004-01,0.931,
2004-04,0.908,
2004-07,0.894,
2004-10,0.673,
2005-01,0.778,
2005-04,0.761,
2005-07,0.742,
2005-10,0.724,
2006-01,0.694,
2006-04,0.679,
2006-07,0.675,
2006-10,0.604,
2007-01,0.588,
2007-04,0.571,
2007-07,0.547,
2007-10,0.528,
2008-01,0.504,
2008-04,0.492,
2008-07,0.479,
2008-10,0.460,
2009-01,0.444,
2009-04,0.434,
2009-07,0.425,
2009-10,0.414,
2010-01,0.404,
2010-04,0.394,
2010-07,0.383,
2010-10,0.372,
2011-01,0.356,
2011-04,0.347,
2011-07,0.337,
2011-10,0.328,
2012-01,0.319,
2012-04,0.308,
2012-07,0.299,
2012-10,0.288,
2013-01,0.268,
2013-04,0.268,
2013-07,0.267,
2013-10,0.260,
2014-01,0.265,
2014-04,0.257,
2014-07,0.251,
