"",BBSF2.M.1.S.I1250.GEM01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEM01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Number / Insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:50:19,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,679,
1993-05,681,
1993-06,682,
1993-07,684,
1993-08,684,
1993-09,685,
1993-10,692,
1993-11,690,
1993-12,697,
1994-01,702,
1994-02,709,
1994-03,712,
1994-04,716,
1994-05,715,
1994-06,717,
1994-07,723,
1994-08,728,
1994-09,731,
1994-10,727,
1994-11,728,
1994-12,726,
1995-01,727,
1995-02,730,
1995-03,731,
1995-04,731,
1995-05,733,
1995-06,736,
1995-07,735,
1995-08,737,
1995-09,732,
1995-10,731,
1995-11,727,
1995-12,737,
1996-01,750,
1996-02,752,
1996-03,762,
1996-04,766,
1996-05,764,
1996-06,766,
1996-07,771,
1996-08,775,
1996-09,774,
1996-10,778,
1996-11,779,
1996-12,780,
1997-01,789,
1997-02,798,
1997-03,810,
1997-04,812,
1997-05,815,
1997-06,824,
1997-07,829,
1997-08,836,
1997-09,840,
1997-10,833,
1997-11,841,
1997-12,846,
1998-01,858,
1998-02,870,
1998-03,885,
1998-04,883,
1998-05,886,
1998-06,890,
1998-07,901,
1998-08,911,
1998-09,916,
1998-10,922,
1998-11,925,
1998-12,932,
1999-01,941,
1999-02,944,
1999-03,947,
1999-04,950,
1999-05,954,
1999-06,960,
1999-07,966,
1999-08,977,
1999-09,974,
1999-10,978,
1999-11,973,
1999-12,970,
2000-01,978,
2000-02,976,
2000-03,976,
2000-04,979,
2000-05,980,
2000-06,987,
2000-07,990,
2000-08,990,
2000-09,990,
2000-10,1002,
2000-11,996,
2000-12,999,
2001-01,1005,
2001-02,1011,
2001-03,1009,
2001-04,1013,
2001-05,1015,
2001-06,1018,
2001-07,1020,
2001-08,1017,
2001-09,1014,
2001-10,1006,
2001-11,995,
2001-12,991,
2002-01,992,
2002-02,989,
2002-03,995,
2002-04,1005,
2002-05,1004,
2002-06,1007,
2002-07,1001,
2002-08,997,
2002-09,996,
2002-10,1000,
2002-11,989,
2002-12,993,
2003-01,993,
2003-02,986,
2003-03,975,
2003-04,970,
2003-05,966,
2003-06,960,
2003-07,955,
2003-08,963,
2003-09,960,
2003-10,957,
2003-11,940,
2003-12,919,
2004-01,912,
2004-02,891,
2004-03,876,
2004-04,838,
2004-05,832,
2004-06,823,
2004-07,809,
2004-08,809,
2004-09,794,
2004-10,781,
2004-11,775,
2004-12,757,
2005-01,752,
2005-02,752,
2005-03,740,
2005-04,735,
2005-05,718,
2005-06,718,
2005-07,710,
2005-08,685,
2005-09,674,
2005-10,529,
2005-11,512,
2005-12,499,
2006-01,496,
2006-02,497,
2006-03,493,
2006-04,483,
2006-05,474,
2006-06,467,
2006-07,467,
2006-08,454,
2006-09,454,
2006-10,451,
2006-11,441,
2006-12,434,
2007-01,425,
2007-02,421,
2007-03,421,
2007-04,410,
2007-05,409,
2007-06,407,
2007-07,404,
2007-08,405,
2007-09,403,
2007-10,402,
2007-11,400,
2007-12,392,
2008-01,391,
2008-02,393,
2008-03,389,
2008-04,386,
2008-05,380,
2008-06,378,
2008-07,374,
2008-08,373,
2008-09,366,
2008-10,351,
2008-11,328,
2008-12,324,
2009-01,324,
2009-02,321,
2009-03,315,
2009-04,302,
2009-05,251,
2009-06,246,
2009-07,237,
2009-08,232,
2009-09,210,
2009-10,204,
2009-11,200,
2009-12,198,
2010-01,201,
2010-02,196,
2010-03,195,
2010-04,194,
2010-05,189,
2010-06,191,
2010-07,188,
2010-08,188,
2010-09,191,
2010-10,191,
2010-11,191,
2010-12,194,
2011-01,195,
2011-02,195,
2011-03,196,
2011-04,198,
2011-05,197,
2011-06,198,
2011-07,199,
2011-08,198,
2011-09,199,
2011-10,199,
2011-11,198,
2011-12,196,
2012-01,190,
2012-02,195,
2012-03,197,
2012-04,197,
2012-05,196,
2012-06,190,
2012-07,190,
2012-08,191,
2012-09,195,
2012-10,195,
2012-11,195,
2012-12,193,
2013-01,193,
2013-02,193,
2013-03,194,
2013-04,194,
2013-05,191,
2013-06,191,
2013-07,195,
2013-08,195,
2013-09,194,
2013-10,193,
2013-11,193,
2013-12,193,
2014-01,190,
2014-02,191,
2014-03,188,
2014-04,187,
2014-05,189,
2014-06,190,
2014-07,186,
2014-08,205,
2014-09,206,
2014-10,208,
2014-11,207,
