"",BBK01.CEFJ10,BBK01.CEFJ10_FLAGS
"",Unlisted shares                                      debtor: Non-financial corporations creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:16,
1999-01,325.3,
1999-04,321.9,
1999-07,285.8,
1999-10,408.9,
2000-01,459.3,
2000-04,459.6,
2000-07,425.1,
2000-10,392.5,
2001-01,357.5,
2001-04,341.8,
2001-07,327.5,
2001-10,392.2,
2002-01,402.3,
2002-04,361.7,
2002-07,229.7,
2002-10,228.7,
2003-01,186.3,
2003-04,222.3,
2003-07,224.0,
2003-10,250.0,
2004-01,248.5,
2004-04,262.2,
2004-07,257.2,
2004-10,268.6,
2005-01,273.5,
2005-04,287.9,
2005-07,308.6,
2005-10,309.8,
2006-01,338.6,
2006-04,331.1,
2006-07,315.9,
2006-10,335.8,
2007-01,348.3,
2007-04,378.8,
2007-07,380.0,
2007-10,381.7,
2008-01,320.5,
2008-04,312.5,
2008-07,286.3,
2008-10,263.4,
2009-01,229.8,
2009-04,274.7,
2009-07,294.4,
2009-10,303.9,
2010-01,310.7,
2010-04,301.9,
2010-07,322.1,
2010-10,359.4,
2011-01,368.8,
2011-04,377.1,
2011-07,290.4,
2011-10,307.2,
2012-01,354.9,
2012-04,324.5,
2012-07,359.1,
2012-10,378.5,
2013-01,402.5,
2013-04,351.1,
2013-07,384.4,
2013-10,422.1,
2014-01,423.2,
2014-04,427.2,
2014-07,434.7,
