"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4S___ES.D.FL.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4S___ES.D.FL.T._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Nachrichtlich/  Income from Equity in the narrower sense / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:36,
1991-01,443.518,
1991-02,264.699,
1991-03,251.628,
1991-04,301.539,
1991-05,382.606,
1991-06,253.551,
1991-07,400.723,
1991-08,320.445,
1991-09,312.167,
1991-10,281.704,
1991-11,178.269,
1991-12,428.669,
1992-01,309.508,
1992-02,128.307,
1992-03,231.627,
1992-04,302.589,
1992-05,292.210,
1992-06,226.231,
1992-07,267.099,
1992-08,356.576,
1992-09,111.444,
1992-10,137.031,
1992-11,25.028,
1992-12,300.908,
1993-01,446.071,
1993-02,183.076,
1993-03,448.532,
1993-04,602.620,
1993-05,176.482,
1993-06,208.252,
1993-07,419.513,
1993-08,295.141,
1993-09,372.204,
1993-10,300.167,
1993-11,161.884,
1993-12,700.321,
1994-01,571.567,
1994-02,206.745,
1994-03,778.630,
1994-04,732.387,
1994-05,303.574,
1994-06,439.089,
1994-07,528.964,
1994-08,290.839,
1994-09,436.728,
1994-10,196.864,
1994-11,191.913,
1994-12,710.967,
1995-01,589.666,
1995-02,409.403,
1995-03,754.692,
1995-04,624.818,
1995-05,289.520,
1995-06,641.607,
1995-07,626.456,
1995-08,274.510,
1995-09,389.830,
1995-10,304.793,
1995-11,190.774,
1995-12,1022.614,
1996-01,752.519,
1996-02,639.123,
1996-03,1267.622,
1996-04,965.724,
1996-05,609.588,
1996-06,703.269,
1996-07,1060.859,
1996-08,599.114,
1996-09,708.171,
1996-10,527.408,
1996-11,556.415,
1996-12,1506.189,
1997-01,769.091,
1997-02,782.037,
1997-03,1073.623,
1997-04,908.112,
1997-05,620.165,
1997-06,1097.704,
1997-07,788.408,
1997-08,686.489,
1997-09,586.986,
1997-10,829.052,
1997-11,775.832,
1997-12,2212.440,
1998-01,860.609,
1998-02,310.436,
1998-03,1118.634,
1998-04,873.123,
1998-05,669.790,
1998-06,1266.159,
1998-07,1005.352,
1998-08,636.836,
1998-09,828.117,
1998-10,61.226,
1998-11,684.000,
1998-12,2994.147,
1999-01,284.210,
1999-02,558.250,
1999-03,1052.950,
1999-04,2120.192,
1999-05,719.809,
1999-06,904.920,
1999-07,713.357,
1999-08,403.416,
1999-09,370.915,
1999-10,625.814,
1999-11,444.590,
1999-12,2299.738,
2000-01,165.225,
2000-02,-22.501,
2000-03,2278.713,
2000-04,738.530,
2000-05,772.042,
2000-06,689.574,
2000-07,345.656,
2000-08,165.006,
2000-09,334.537,
2000-10,704.132,
2000-11,180.651,
2000-12,5846.017,
2001-01,-48.339,
2001-02,-48.276,
2001-03,-48.870,
2001-04,-94.646,
2001-05,-94.316,
2001-06,-95.211,
2001-07,-95.259,
2001-08,-93.283,
2001-09,-94.872,
2001-10,-47.850,
2001-11,-48.346,
2001-12,63.921,
2002-01,300.088,
2002-02,331.631,
2002-03,370.885,
2002-04,359.742,
2002-05,397.419,
2002-06,443.640,
2002-07,390.085,
2002-08,438.817,
2002-09,481.319,
2002-10,450.008,
2002-11,495.094,
2002-12,565.315,
2003-01,693.532,
2003-02,757.750,
2003-03,853.934,
2003-04,830.078,
2003-05,911.989,
2003-06,1024.118,
2003-07,898.322,
2003-08,987.370,
2003-09,1105.843,
2003-10,1029.246,
2003-11,1125.215,
2003-12,1442.616,
2004-01,2970.565,
2004-02,2940.368,
2004-03,2878.542,
2004-04,2942.507,
2004-05,2821.878,
2004-06,2908.396,
2004-07,3028.668,
2004-08,3000.453,
2004-09,3245.922,
2004-10,3003.841,
2004-11,3334.262,
2004-12,3300.898,
2005-01,3545.105,
2005-02,3506.064,
2005-03,3436.807,
2005-04,3512.038,
2005-05,3364.190,
2005-06,3474.491,
2005-07,3617.839,
2005-08,3583.660,
2005-09,3870.576,
2005-10,3580.528,
2005-11,3981.775,
2005-12,3939.695,
2006-01,4395.757,
2006-02,4402.466,
2006-03,4414.112,
2006-04,4435.948,
2006-05,4468.645,
2006-06,4496.498,
2006-07,4547.917,
2006-08,4590.733,
2006-09,4644.605,
2006-10,4704.114,
2006-11,4774.810,
2006-12,4862.732,
2007-01,6035.143,
2007-02,5926.833,
2007-03,5897.543,
2007-04,5754.484,
2007-05,5563.119,
2007-06,5330.809,
2007-07,5076.945,
2007-08,4727.215,
2007-09,4318.204,
2007-10,3927.442,
2007-11,3490.673,
2007-12,3031.065,
2008-01,2348.599,
2008-02,1763.012,
2008-03,1424.703,
2008-04,1072.376,
2008-05,949.442,
2008-06,775.861,
2008-07,696.066,
2008-08,828.678,
2008-09,793.956,
2008-10,977.977,
2008-11,1275.286,
2008-12,1219.652,
2009-01,3353.369,
2009-02,3371.553,
2009-03,3390.941,
2009-04,3419.628,
2009-05,3477.056,
2009-06,3534.651,
2009-07,3614.822,
2009-08,3692.943,
2009-09,3771.696,
2009-10,3881.774,
2009-11,4002.030,
2009-12,4140.564,
2010-01,4381.913,
2010-02,4445.284,
2010-03,4561.814,
2010-04,4659.878,
2010-05,4870.079,
2010-06,5009.504,
2010-07,4879.887,
2010-08,4936.292,
2010-09,4965.076,
2010-10,4943.646,
2010-11,5001.160,
2010-12,6545.990,
2011-01,5236.709,
2011-02,5344.918,
2011-03,5436.227,
2011-04,5515.660,
2011-05,5584.345,
2011-06,5648.475,
2011-07,5710.262,
2011-08,5732.889,
2011-09,5771.940,
2011-10,5786.250,
2011-11,5792.119,
2011-12,5778.704,
2012-01,5775.974,
2012-02,5751.943,
2012-03,5763.753,
2012-04,5741.307,
2012-05,5733.512,
2012-06,5731.111,
2012-07,5724.697,
2012-08,5723.094,
2012-09,5715.949,
2012-10,5730.092,
2012-11,5713.586,
2012-12,5817.713,
2013-01,5712.177,
2013-02,5716.054,
2013-03,5704.253,
2013-04,5714.147,
2013-05,5709.278,
2013-06,5712.549,
2013-07,5726.215,
2013-08,5706.615,
2013-09,5701.411,
2013-10,5717.443,
2013-11,5705.226,
2013-12,5706.820,
2014-01,5780.145,
2014-02,5699.117,Provisional value
2014-03,5725.138,Provisional value
2014-04,5725.266,Provisional value
2014-05,5799.037,Provisional value
2014-06,5725.134,Provisional value
2014-07,5709.564,Provisional value
2014-08,5714.069,Provisional value
2014-09,5935.607,
2014-10,5752.106,
2014-11,5766.083,
2014-12,5882.644,Provisional value
