"",BBK01.OEHJ04G,BBK01.OEHJ04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:31,
2002-01,2.158,
2002-04,2.250,
2002-07,2.374,
2002-10,2.505,
2003-01,2.409,
2003-04,2.243,
2003-07,2.167,
2003-10,2.497,
2004-01,2.110,
2004-04,2.043,
2004-07,2.151,
2004-10,2.714,
2005-01,2.295,
2005-04,2.162,
2005-07,2.201,
2005-10,2.735,
2006-01,2.449,
2006-04,2.550,
2006-07,2.625,
2006-10,2.805,
2007-01,2.780,
2007-04,2.756,
2007-07,2.717,
2007-10,2.778,
2008-01,2.761,
2008-04,3.110,
2008-07,3.254,
2008-10,3.646,
2009-01,2.982,
2009-04,2.679,
2009-07,2.407,
2009-10,2.731,
2010-01,2.435,
2010-04,2.633,
2010-07,2.795,
2010-10,3.172,
2011-01,2.938,
2011-04,3.224,
2011-07,3.360,
2011-10,3.894,
2012-01,3.257,
2012-04,2.978,
2012-07,2.865,
2012-10,3.039,
2013-01,2.778,
2013-04,2.510,
2013-07,2.800,
2013-10,2.842,
2014-01,2.822,
2014-04,3.152,
2014-07,3.041,
