"",BBK01.OEHB06L,BBK01.OEHB06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:46,
2002-01,6.629,
2002-04,6.468,
2002-07,6.285,
2002-10,6.636,
2003-01,6.092,
2003-04,6.460,
2003-07,6.208,
2003-10,6.952,
2004-01,5.914,
2004-04,5.624,
2004-07,5.459,
2004-10,5.256,
2005-01,5.847,
2005-04,6.019,
2005-07,5.244,
2005-10,5.655,
2006-01,5.282,
2006-04,5.346,
2006-07,5.265,
2006-10,5.216,
2007-01,5.048,
2007-04,4.902,
2007-07,5.019,
2007-10,4.593,
2008-01,4.638,
2008-04,4.698,
2008-07,4.627,
2008-10,4.808,
2009-01,5.034,
2009-04,5.190,
2009-07,4.885,
2009-10,4.787,
2010-01,4.948,
2010-04,4.880,
2010-07,4.806,
2010-10,4.678,
2011-01,5.066,
2011-04,5.218,
2011-07,4.988,
2011-10,4.989,
2012-01,5.222,
2012-04,5.042,
2012-07,4.902,
2012-10,4.912,
2013-01,4.845,
2013-04,4.666,
2013-07,4.631,
2013-10,4.622,
2014-01,4.620,
2014-04,4.335,
2014-07,4.241,
