"",BBK01.OUB311,BBK01.OUB311_FLAGS
"",Time deposits of the federal states / for more than two years / Commercial banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:24:44,
1999-01,0.077,
1999-02,0.076,
1999-03,0.077,
1999-04,0.097,
1999-05,0.074,
1999-06,0.074,
1999-07,0.072,
1999-08,0.073,
1999-09,0.078,
1999-10,0.076,
1999-11,0.076,
1999-12,0.083,
2000-01,0.359,
2000-02,0.292,
2000-03,0.289,
2000-04,0.289,
2000-05,0.288,
2000-06,0.291,
2000-07,0.284,
2000-08,0.290,
2000-09,0.284,
2000-10,0.281,
2000-11,0.283,
2000-12,0.283,
2001-01,0.290,
2001-02,0.290,
2001-03,0.290,
2001-04,0.289,
2001-05,0.290,
2001-06,0.279,
2001-07,0.285,
2001-08,0.284,
2001-09,0.288,
2001-10,0.296,
2001-11,0.292,
2001-12,0.291,
2002-01,0.709,
2002-02,0.690,
2002-03,0.685,
2002-04,0.685,
2002-05,0.685,
2002-06,0.684,
2002-07,0.773,
2002-08,0.770,
2002-09,0.770,
2002-10,0.767,
2002-11,0.771,
2002-12,0.773,
2003-01,0.548,
2003-02,0.547,
2003-03,0.546,
2003-04,0.540,
2003-05,0.540,
2003-06,0.539,
2003-07,0.426,
2003-08,0.426,
2003-09,0.431,
2003-10,0.427,
2003-11,0.429,
2003-12,0.420,
2004-01,0.371,
2004-02,0.370,
2004-03,0.369,
2004-04,0.363,
2004-05,0.363,
2004-06,0.363,
2004-07,0.313,
2004-08,0.312,
2004-09,0.311,
2004-10,0.310,
2004-11,0.308,
2004-12,0.307,
2005-01,0.266,
2005-02,0.267,
2005-03,0.266,
2005-04,0.261,
2005-05,0.262,
2005-06,0.260,
2005-07,0.210,
2005-08,0.215,
2005-09,0.208,
2005-10,0.217,
2005-11,0.217,
2005-12,0.216,
2006-01,0.159,
2006-02,0.159,
2006-03,0.165,
2006-04,0.165,
2006-05,0.165,
2006-06,0.155,
2006-07,0.147,
2006-08,0.138,
2006-09,0.137,
2006-10,0.133,
2006-11,0.134,
2006-12,0.137,
2007-01,0.117,
2007-02,0.117,
2007-03,0.113,
2007-04,0.114,
2007-05,0.119,
2007-06,0.118,
2007-07,0.095,
2007-08,0.095,
2007-09,0.094,
2007-10,0.094,
2007-11,0.096,
2007-12,0.096,
2008-01,0.068,
2008-02,0.072,
2008-03,0.071,
2008-04,0.105,
2008-05,0.110,
2008-06,0.110,
2008-07,0.096,
2008-08,0.130,
2008-09,0.130,
2008-10,0.130,
2008-11,0.125,
2008-12,0.133,
2009-01,0.113,
2009-02,0.078,
2009-03,0.080,
2009-04,0.109,
2009-05,0.110,
2009-06,0.110,
2009-07,0.116,
2009-08,0.116,
2009-09,0.106,
2009-10,0.106,
2009-11,0.106,
2009-12,0.106,
2010-01,0.093,
2010-02,0.093,
2010-03,0.098,
2010-04,0.114,
2010-05,0.114,
2010-06,0.158,
2010-07,0.164,
2010-08,0.188,
2010-09,0.189,
2010-10,0.194,
2010-11,0.195,
2010-12,0.201,
2011-01,0.201,
2011-02,0.201,
2011-03,0.201,
2011-04,0.210,
2011-05,0.210,
2011-06,0.217,
2011-07,0.205,
2011-08,0.205,
2011-09,0.205,
2011-10,0.213,
2011-11,0.212,
2011-12,0.211,
2012-01,0.218,
2012-02,0.218,
2012-03,0.250,
2012-04,0.251,
2012-05,0.251,
2012-06,0.200,
2012-07,0.190,
2012-08,0.190,
2012-09,0.186,
2012-10,0.186,
2012-11,0.186,
2012-12,1.374,
2013-01,1.183,
2013-02,1.186,
2013-03,1.186,
2013-04,0.974,
2013-05,0.972,
2013-06,0.967,
2013-07,0.874,
2013-08,0.873,
2013-09,0.873,
2013-10,0.776,
2013-11,0.776,
2013-12,0.777,
2014-01,0.695,
2014-02,0.692,
2014-03,0.689,
2014-04,0.652,
2014-05,0.646,
2014-06,0.640,
2014-07,0.165,
2014-08,0.215,
2014-09,0.165,
2014-10,0.157,
2014-11,0.141,
2014-12,0.266,Provisional value
