"",BBEX3.M.BRL.USD.CA.AA.A01,BBEX3.M.BRL.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Brazil * / USD 1 = BRL ... (buying),
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:20,
1994-07,0.9380,
1994-08,0.8870,
1994-09,0.8510,
1994-10,0.8440,
1994-11,0.8430,
1994-12,0.8440,
1995-01,0.8400,
1995-02,0.8495,
1995-03,0.8940,
1995-04,0.9110,
1995-05,0.9040,
1995-06,0.9200,
1995-07,0.9340,
1995-08,0.9490,
1995-09,0.9520,
1995-10,0.9609,
1995-11,0.9656,
1995-12,0.9715,
1996-01,0.9776,
1996-02,0.9832,
1996-03,0.9872,
1996-04,0.9917,
1996-05,0.9976,
1996-06,1.0036,
1996-07,1.0104,
1996-08,1.0161,
1996-09,1.0207,
1996-10,1.0268,
1996-11,1.0324,
1996-12,1.0386,
1997-01,1.0453,
1997-02,1.0507,
1997-03,1.0585,
1997-04,1.0630,
1997-05,1.0709,
1997-06,1.0761,
1997-07,1.0826,
1997-08,1.0908,
1997-09,1.0956,
1997-10,1.1023,
1997-11,1.1090,
1997-12,1.1156,
1998-01,1.1229,
1998-02,1.1296,
1998-03,1.1366,
1998-04,1.1435,
1998-05,1.1497,
1998-06,1.1561,
1998-07,1.1626,
1998-08,1.1761,
1998-09,1.1848,
1998-10,1.1924,
1998-11,1.2004,
1998-12,1.2079,
1999-01,1.9824,comment
1999-02,2.0640,
1999-03,1.7212,
1999-04,1.6599,
1999-05,1.7232,
1999-06,1.7687,
1999-07,1.7884,
1999-08,1.9151,
1999-09,1.9215,
1999-10,1.9522,
1999-11,1.9219,
1999-12,1.7882,
2000-01,1.8016,
2000-02,1.7677,
2000-03,1.7465,
2000-04,1.8059,
2000-05,1.8258,
2000-06,1.7992,
2000-07,1.7740,
2000-08,1.8226,
2000-09,1.8429,
2000-10,1.9082,
2000-11,1.9588,
2000-12,1.9546,
2001-01,1.9703,
2001-02,2.0444,
2001-03,2.1608,
2001-04,2.1839,
2001-05,2.3592,
2001-06,2.3041,
2001-07,2.4305,
2001-08,2.5509,
2001-09,2.6705,
2001-10,2.7063,
2001-11,2.5279,
