"",BBK01.OECI03P,BBK01.OECI03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:36,
2002-01,0.253,
2002-04,0.266,
2002-07,0.235,
2002-10,0.246,
2003-01,0.238,
2003-04,0.240,
2003-07,0.319,
2003-10,0.559,
2004-01,0.504,
2004-04,0.531,
2004-07,0.299,
2004-10,0.481,
2005-01,0.399,
2005-04,0.281,
2005-07,0.269,
2005-10,0.308,
2006-01,0.269,
2006-04,0.228,
2006-07,0.246,
2006-10,0.258,
2007-01,0.273,
2007-04,0.317,
2007-07,0.432,
2007-10,0.588,
2008-01,0.532,
2008-04,0.511,
2008-07,0.551,
2008-10,0.576,
2009-01,0.469,
2009-04,0.454,
2009-07,0.394,
2009-10,0.367,
2010-01,0.343,
2010-04,0.361,
2010-07,0.269,
2010-10,0.331,
2011-01,0.249,
2011-04,0.282,
2011-07,0.271,
2011-10,0.277,
2012-01,0.249,
2012-04,0.240,
2012-07,0.359,
2012-10,0.341,
2013-01,0.266,
2013-04,0.172,
2013-07,0.155,
2013-10,0.142,
2014-01,0.131,
2014-04,0.227,
2014-07,0.177,
