"",BBK01.OEHB04O,BBK01.OEHB04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:18,
2002-01,25.012,
2002-04,25.225,
2002-07,25.492,
2002-10,25.648,
2003-01,25.719,
2003-04,25.932,
2003-07,26.257,
2003-10,26.523,
2004-01,26.551,
2004-04,26.675,
2004-07,26.817,
2004-10,26.859,
2005-01,27.072,
2005-04,27.175,
2005-07,27.389,
2005-10,27.619,
2006-01,27.660,
2006-04,27.769,
2006-07,27.941,
2006-10,28.086,
2007-01,28.114,
2007-04,28.182,
2007-07,28.285,
2007-10,28.423,
2008-01,28.345,
2008-04,28.389,
2008-07,28.643,
2008-10,28.712,
2009-01,28.590,
2009-04,28.632,
2009-07,28.837,
2009-10,29.001,
2010-01,29.078,
2010-04,29.363,
2010-07,29.777,
2010-10,29.942,
2011-01,29.808,
2011-04,29.990,
2011-07,30.288,
2011-10,30.638,
2012-01,30.754,
2012-04,31.041,
2012-07,31.473,
2012-10,31.799,
2013-01,31.958,
2013-04,32.230,
2013-07,32.406,
2013-10,32.615,
2014-01,32.654,
2014-04,32.923,
2014-07,33.273,
