"",BBEX3.M.MOP.EUR.CA.AA.A01,BBEX3.M.MOP.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Macao  / EUR 1 = MOP ... (buying),
unit,MOP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:14,
1999-01,9.0277,
1999-02,8.7455,
1999-03,8.5508,
1999-04,8.4679,
1999-05,8.3178,
1999-06,8.2415,
1999-07,8.5316,
1999-08,8.3643,
1999-09,8.4711,
1999-10,8.4016,
1999-11,8.0721,
1999-12,8.0329,
2000-01,7.8304,
2000-02,7.7372,
2000-03,7.6728,
2000-04,7.3040,
2000-05,7.4471,
2000-06,7.6132,
2000-07,7.4044,
2000-08,7.1655,
2000-09,7.0763,
2000-10,6.7384,
2000-11,6.8623,
2000-12,7.5376,
2001-01,7.4178,
2001-02,7.3464,
2001-03,7.0102,
2001-04,7.1381,
2001-05,6.8548,
2001-06,6.7823,
2001-07,6.9986,
2001-08,7.3338,
2001-09,7.2979,
2001-10,7.2544,
2001-11,7.0936,
2001-12,7.0687,
2002-01,6.8877,
2002-02,6.9210,
2002-03,6.9822,
2002-04,7.2203,
2002-05,7.4909,
2002-06,7.9200,
2002-07,7.8642,
2002-08,7.8459,
2002-09,7.8457,
2002-10,7.8646,
2002-11,7.9428,
2002-12,8.3692,
2003-01,8.6473,
2003-02,8.5930,
2003-03,8.6284,
2003-04,8.8844,
2003-05,9.4190,
2003-06,9.1307,
2003-07,9.0761,
2003-08,8.7764,
2003-09,9.1901,
2003-10,9.2292,
2003-11,9.5239,
2003-12,9.9581,
2004-01,9.9110,
2004-02,9.9389,
2004-03,9.7062,
2004-04,9.5343,
2004-05,9.7338,
2004-06,9.6321,
2004-07,9.5787,
2004-08,9.6145,
2004-09,9.8344,
2004-10,10.1745,
2004-11,10.5425,
2004-12,10.8262,
2005-01,10.3859,
2005-02,10.5751,
2005-03,10.3041,
2005-04,10.2575,
2005-05,9.9131,
2005-06,9.6015,
2005-07,9.6807,
2005-08,9.7107,
2005-09,9.5397,
2005-10,9.5489,
2005-11,9.3307,
2005-12,9.3858,
2006-01,9.6798,
2006-02,9.3926,
2006-03,9.6431,
2006-04,10.0153,
2006-05,10.1147,
2006-06,10.0561,
2006-07,10.1380,
2006-08,10.2027,
2006-09,10.1167,
2006-10,10.0997,
2006-11,10.4644,
2006-12,10.4557,
2007-01,10.3552,
2007-02,10.5858,
2007-03,10.6634,
2007-04,10.9089,
2007-05,10.7350,
2007-06,10.7525,
2007-07,10.9851,
2007-08,10.9071,
2007-09,11.2395,
2007-10,11.4520,
2007-11,11.7747,
2007-12,11.7675,
2008-01,11.8441,
2008-02,12.0881,
2008-03,12.5569,
2008-04,12.4159,
2008-05,12.3969,
2008-06,12.6146,
2008-07,12.4432,
2008-08,11.7534,
2008-09,11.4204,
2008-10,10.1460,
2008-11,10.2323,
2008-12,11.2103,
2009-01,10.2354,
2009-02,10.0786,
2009-03,10.4855,
2009-04,10.5597,
2009-05,11.0724,
2009-06,11.1913,
2009-07,11.1735,
2009-08,11.3526,
2009-09,11.5797,
2009-10,11.7674,
2009-11,11.8967,
2009-12,11.3908,
2010-01,11.0823,
2010-02,10.7720,
2010-03,10.6667,
2010-04,10.5239,
2010-05,9.8086,
2010-06,9.7019,
2010-07,10.3794,
2010-08,10.0673,
2010-09,10.8257,
2010-10,11.0480,
2010-11,10.4347,
2010-12,10.5934,
2011-01,10.8382,
2011-02,10.9461,
2011-03,11.2641,
2011-04,11.7905,
2011-05,11.4436,
2011-06,11.5233,
2011-07,11.4149,
2011-08,11.5104,
2011-09,10.8324,
2011-10,11.2430,
2011-11,10.6294,
2011-12,10.3045,
2012-01,10.4490,
2012-02,10.6946,
2012-03,10.6094,
2012-04,10.5121,
2012-05,9.8315,
2012-06,9.8864,
2012-07,9.7350,
2012-08,9.9348,
2012-09,10.2495,
2012-10,10.2839,
2012-11,10.2933,
2012-12,10.4977,
2013-01,10.7758,
2013-02,10.4374,
2013-03,10.1550,
2013-04,10.4011,
2013-05,10.3613,
2013-06,10.3494,
2013-07,10.5260,
2013-08,10.5103,
2013-09,10.7123,
2013-10,10.8960,
2013-11,10.8021,
2013-12,10.9616,
2014-01,10.8549,
2014-02,10.8882,
2014-03,10.9255,
2014-04,10.9588,
2014-05,10.7964,
2014-06,10.8263,
2014-07,10.6284,
2014-08,10.4578,
2014-09,10.0803,
2014-10,10.0074,
2014-11,9.8799,
2014-12,9.6488,
2015-01,9.0224,
2015-02,8.9261,
"","Source: Banco Nacional Ultramarino S.A., Macao.",
