"",BBK01.OECM04J,BBK01.OECM04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:42,
2002-01,0.031,
2002-04,0.021,
2002-07,0.029,
2002-10,0.023,
2003-01,0.019,
2003-04,0.005,
2003-07,0.012,
2003-10,0.012,
2004-01,0.001,
2004-04,0.001,
2004-07,0.001,
2004-10,0.001,
2005-01,0.011,
2005-04,0.001,
2005-07,0.001,
2005-10,0.001,
2006-01,0.001,
2006-04,0.004,
2006-07,0.002,
2006-10,0.002,
2007-01,0.001,
2007-04,0.001,
2007-07,0.001,
2007-10,-,Nothing exists
2008-01,0.002,
2008-04,0.001,
2008-07,0.005,
2008-10,0.019,
2009-01,0.024,
2009-04,0.019,
2009-07,0.019,
2009-10,0.025,
2010-01,0.016,
2010-04,0.014,
2010-07,0.014,
2010-10,0.014,
2011-01,0.022,
2011-04,0.029,
2011-07,0.048,
2011-10,0.043,
2012-01,0.043,
2012-04,0.049,
2012-07,0.053,
2012-10,0.067,
2013-01,0.060,
2013-04,0.058,
2013-07,0.102,
2013-10,0.069,
2014-01,0.095,
2014-04,0.048,
2014-07,0.044,
