"",BBK01.OEXB20T,BBK01.OEXB20T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:17,
2002-01,1.156,
2002-04,1.175,
2002-07,1.197,
2002-10,1.247,
2003-01,1.265,
2003-04,1.296,
2003-07,1.303,
2003-10,1.321,
2004-01,1.328,
2004-04,1.348,
2004-07,1.370,
2004-10,1.299,
2005-01,1.288,
2005-04,1.305,
2005-07,1.274,
2005-10,1.216,
2006-01,1.213,
2006-04,1.256,
2006-07,1.286,
2006-10,1.337,
2007-01,1.357,
2007-04,1.386,
2007-07,1.391,
2007-10,1.402,
2008-01,1.361,
2008-04,1.342,
2008-07,1.351,
2008-10,1.355,
2009-01,1.325,
2009-04,1.332,
2009-07,1.311,
2009-10,1.317,
2010-01,1.321,
2010-04,1.308,
2010-07,1.310,
2010-10,1.305,
2011-01,1.305,
2011-04,1.309,
2011-07,1.326,
2011-10,1.358,
2012-01,1.360,
2012-04,1.373,
2012-07,1.374,
2012-10,1.363,
2013-01,1.367,
2013-04,1.369,
2013-07,1.376,
2013-10,1.375,
2014-01,1.389,
2014-04,1.404,
2014-07,1.411,
