"",BBK01.OEHB09U,BBK01.OEHB09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:34,
2002-01,1.509,
2002-04,1.525,
2002-07,1.531,
2002-10,1.549,
2003-01,1.537,
2003-04,1.549,
2003-07,1.585,
2003-10,1.598,
2004-01,1.601,
2004-04,1.590,
2004-07,1.589,
2004-10,1.636,
2005-01,1.607,
2005-04,1.606,
2005-07,1.569,
2005-10,1.579,
2006-01,1.587,
2006-04,1.598,
2006-07,1.588,
2006-10,1.580,
2007-01,1.592,
2007-04,1.613,
2007-07,1.624,
2007-10,1.631,
2008-01,1.668,
2008-04,1.725,
2008-07,1.768,
2008-10,1.813,
2009-01,1.855,
2009-04,1.923,
2009-07,1.914,
2009-10,1.905,
2010-01,1.969,
2010-04,1.977,
2010-07,2.025,
2010-10,2.024,
2011-01,2.077,
2011-04,2.103,
2011-07,2.125,
2011-10,2.172,
2012-01,2.211,
2012-04,2.286,
2012-07,2.324,
2012-10,2.322,
2013-01,2.392,
2013-04,2.430,
2013-07,2.475,
2013-10,2.481,
2014-01,2.470,
2014-04,2.551,
2014-07,2.563,
