"",BBK01.OELJ01R,BBK01.OELJ01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:19,
2002-01,0.317,
2002-04,0.298,
2002-07,0.337,
2002-10,0.338,
2003-01,0.300,
2003-04,0.288,
2003-07,0.310,
2003-10,0.374,
2004-01,0.324,
2004-04,0.318,
2004-07,0.325,
2004-10,0.375,
2005-01,0.326,
2005-04,0.313,
2005-07,0.319,
2005-10,0.380,
2006-01,0.310,
2006-04,0.332,
2006-07,0.372,
2006-10,0.424,
2007-01,0.371,
2007-04,0.360,
2007-07,0.410,
2007-10,0.457,
2008-01,0.421,
2008-04,0.390,
2008-07,0.444,
2008-10,0.495,
2009-01,0.434,
2009-04,0.416,
2009-07,0.435,
2009-10,0.465,
2010-01,0.426,
2010-04,0.428,
2010-07,0.468,
2010-10,0.516,
2011-01,0.479,
2011-04,0.438,
2011-07,0.472,
2011-10,0.509,
2012-01,0.466,
2012-04,0.556,
2012-07,0.625,
2012-10,0.662,
2013-01,0.618,
2013-04,0.615,
2013-07,0.632,
2013-10,0.663,
2014-01,0.669,
2014-04,0.639,
2014-07,0.697,
