"",BBK01.OECB16K,BBK01.OECB16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:23,
2002-01,1.134,
2002-04,1.119,
2002-07,1.114,
2002-10,1.067,
2003-01,1.027,
2003-04,1.009,
2003-07,0.994,
2003-10,0.947,
2004-01,0.938,
2004-04,0.913,
2004-07,0.898,
2004-10,1.410,
2005-01,1.313,
2005-04,1.339,
2005-07,1.303,
2005-10,1.281,
2006-01,1.210,
2006-04,1.193,
2006-07,1.184,
2006-10,1.165,
2007-01,1.147,
2007-04,1.145,
2007-07,1.138,
2007-10,1.131,
2008-01,1.111,
2008-04,1.105,
2008-07,1.095,
2008-10,1.065,
2009-01,1.071,
2009-04,2.131,
2009-07,2.047,
2009-10,2.046,
2010-01,2.004,
2010-04,1.979,
2010-07,1.806,
2010-10,1.698,
2011-01,1.808,
2011-04,1.715,
2011-07,1.774,
2011-10,1.684,
2012-01,1.648,
2012-04,1.670,
2012-07,1.637,
2012-10,1.616,
2013-01,1.602,
2013-04,1.604,
2013-07,1.680,
2013-10,1.696,
2014-01,1.685,
2014-04,1.686,
2014-07,1.687,
