"",BBK01.PQU352,BBK01.PQU352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:04,
1999-01,10.807,
1999-04,10.508,
1999-07,10.414,
1999-10,10.160,
2000-01,9.214,
2000-04,9.047,
2000-07,9.047,
2000-10,8.659,
2001-01,8.387,
2001-04,8.460,
2001-07,8.344,
2001-10,8.361,
2002-01,8.296,
2002-04,8.339,
2002-07,8.452,
2002-10,8.695,
2003-01,8.780,
2003-04,9.283,
2003-07,9.533,
2003-10,9.680,
2004-01,9.628,
2004-04,9.676,
2004-07,9.628,
2004-10,9.688,
2005-01,9.569,
2005-04,9.664,
2005-07,9.665,
2005-10,9.617,
2006-01,9.373,
2006-04,9.573,
2006-07,9.547,
2006-10,9.496,
2007-01,9.312,
2007-04,9.043,
2007-07,8.895,
2007-10,8.704,
2008-01,8.441,
2008-04,8.362,
2008-07,8.195,
2008-10,7.955,
2009-01,7.704,
2009-04,7.876,
2009-07,8.336,
2009-10,8.531,
2010-01,8.525,
2010-04,8.752,
2010-07,8.888,
2010-10,9.091,
2011-01,9.130,
2011-04,9.239,
2011-07,9.306,
2011-10,9.361,
2012-01,9.465,
2012-04,9.628,
2012-07,9.694,
2012-10,9.717,
2013-01,9.524,
2013-04,9.544,
2013-07,9.555,
2013-10,9.432,
2014-01,9.341,
2014-04,9.249,
2014-07,9.176,
2014-10,9.155,
