"",BBK01.OEAO03S,BBK01.OEAO03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:26,
2002-01,1.276,
2002-04,1.188,
2002-07,1.038,
2002-10,0.990,
2003-01,1.178,
2003-04,0.997,
2003-07,0.967,
2003-10,1.024,
2004-01,1.167,
2004-04,0.969,
2004-07,0.933,
2004-10,0.907,
2005-01,1.123,
2005-04,0.966,
2005-07,0.970,
2005-10,0.946,
2006-01,1.135,
2006-04,1.037,
2006-07,1.059,
2006-10,1.175,
2007-01,1.414,
2007-04,1.077,
2007-07,1.069,
2007-10,1.141,
2008-01,1.379,
2008-04,1.186,
2008-07,1.183,
2008-10,1.289,
2009-01,1.351,
2009-04,1.085,
2009-07,1.079,
2009-10,1.165,
2010-01,1.136,
2010-04,0.825,
2010-07,0.744,
2010-10,0.945,
2011-01,1.005,
2011-04,0.959,
2011-07,0.909,
2011-10,0.912,
2012-01,1.073,
2012-04,0.904,
2012-07,0.889,
2012-10,0.917,
2013-01,1.045,
2013-04,0.823,
2013-07,0.753,
2013-10,0.742,
2014-01,0.793,
2014-04,0.746,
2014-07,0.733,
