"",BBFN1.M.DE.N.1.A.QA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.QA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Qatar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:13,
1994-07,0.029,
1994-08,0.026,
1994-09,0.027,
1994-10,0.030,
1994-11,0.053,
1994-12,0.141,
1995-01,0.150,
1995-02,0.161,
1995-03,0.160,
1995-04,0.127,
1995-05,0.130,
1995-06,0.173,
1995-07,0.168,
1995-08,0.202,
1995-09,0.237,
1995-10,0.277,
1995-11,0.284,
1995-12,0.103,
1996-01,0.102,
1996-02,0.111,
1996-03,0.115,
1996-04,0.119,
1996-05,0.118,
1996-06,0.116,
1996-07,0.114,
1996-08,0.125,
1996-09,0.131,
1996-10,0.144,
1996-11,0.142,
1996-12,0.139,
1997-01,0.134,
1997-02,0.136,
1997-03,0.146,
1997-04,0.146,
1997-05,0.141,
1997-06,0.034,
1997-07,0.029,
1997-08,0.026,
1997-09,0.033,
1997-10,0.032,
1997-11,0.038,
1997-12,0.031,
1998-01,0.033,
1998-02,0.031,
1998-03,0.041,
1998-04,0.042,
1998-05,0.041,
1998-06,0.036,
1998-07,0.038,
1998-08,0.036,
1998-09,0.040,
1998-10,0.043,
1998-11,0.046,
1998-12,0.047,
1999-01,0.043,
1999-02,0.043,
1999-03,0.052,
1999-04,0.061,
1999-05,0.045,
1999-06,0.052,
1999-07,0.052,
1999-08,0.055,
1999-09,0.062,
1999-10,0.058,
1999-11,0.071,
1999-12,0.083,
2000-01,0.085,
2000-02,0.084,
2000-03,0.098,
2000-04,0.101,
2000-05,0.110,
2000-06,0.112,
2000-07,0.120,
2000-08,0.130,
2000-09,0.144,
2000-10,0.146,
2000-11,0.149,
2000-12,0.154,
2001-01,0.152,
2001-02,0.153,
2001-03,0.164,
2001-04,0.160,
2001-05,0.152,
2001-06,0.149,
2001-07,0.149,
2001-08,0.053,
2001-09,0.070,
2001-10,0.062,
2001-11,0.065,
2001-12,0.069,
2002-01,0.075,
2002-02,0.079,
2002-03,0.075,
2002-04,0.078,
2002-05,0.079,
2002-06,0.086,
2002-07,0.085,
2002-08,0.099,
2002-09,0.111,
2002-10,0.123,
2002-11,0.133,
2002-12,0.131,
2003-01,0.148,
2003-02,0.168,
2003-03,0.185,
2003-04,0.189,
2003-05,0.196,
2003-06,0.207,
2003-07,0.224,
2003-08,0.228,
2003-09,0.235,
2003-10,0.243,
2003-11,0.257,
2003-12,0.257,
2004-01,0.263,
2004-02,0.261,
2004-03,0.269,
2004-04,0.272,
2004-05,0.276,
2004-06,0.282,
2004-07,0.282,
2004-08,0.285,
2004-09,0.294,
2004-10,0.293,
2004-11,0.300,
2004-12,0.323,
2005-01,0.094,
2005-02,0.088,
2005-03,0.096,
2005-04,0.104,
2005-05,0.079,
2005-06,0.081,
2005-07,0.091,
2005-08,0.082,
2005-09,0.079,
2005-10,0.088,
2005-11,0.097,
2005-12,0.100,
2006-01,0.099,
2006-02,0.114,
2006-03,0.115,
2006-04,0.107,
2006-05,0.120,
2006-06,0.126,
2006-07,0.138,
2006-08,0.156,
2006-09,0.184,
2006-10,0.165,
2006-11,0.139,
2006-12,0.146,
2007-01,0.144,
2007-02,0.142,
2007-03,0.157,
2007-04,0.156,
2007-05,0.139,
2007-06,0.184,
2007-07,0.179,
2007-08,0.234,
2007-09,0.239,
2007-10,0.221,
2007-11,0.228,
2007-12,0.234,
2008-01,0.220,
2008-02,0.229,
2008-03,0.227,
2008-04,0.221,
2008-05,0.209,
2008-06,0.235,
2008-07,0.228,
2008-08,0.233,
2008-09,0.291,
2008-10,0.270,
2008-11,0.303,
2008-12,0.378,
2009-01,0.359,
2009-02,0.322,
2009-03,0.239,
2009-04,0.219,
2009-05,0.231,
2009-06,0.207,
2009-07,0.180,
2009-08,0.325,
2009-09,0.363,
2009-10,0.346,
2009-11,0.330,
2009-12,0.329,
2010-01,0.316,
2010-02,0.348,
2010-03,0.314,
2010-04,0.302,
2010-05,0.324,
2010-06,0.345,
2010-07,0.358,
2010-08,0.332,
2010-09,0.327,
2010-10,0.333,
2010-11,0.348,
2010-12,0.333,
2011-01,0.351,
2011-02,0.356,
2011-03,0.370,
2011-04,0.370,
2011-05,0.366,
2011-06,0.372,
2011-07,0.376,
2011-08,0.360,
2011-09,0.377,
2011-10,0.374,
2011-11,0.397,
2011-12,0.401,
2012-01,0.390,
2012-02,0.393,
2012-03,0.395,
2012-04,0.395,
2012-05,0.399,
2012-06,0.412,
2012-07,0.447,
2012-08,0.447,
2012-09,0.437,
2012-10,0.470,
2012-11,0.492,
2012-12,0.473,
2013-01,0.470,
2013-02,0.463,
2013-03,0.460,
2013-04,0.450,
2013-05,0.457,
2013-06,0.465,
2013-07,0.385,
2013-08,0.412,
2013-09,0.332,
2013-10,0.331,
2013-11,0.348,
2013-12,0.333,
2014-01,0.325,
2014-02,0.360,
2014-03,0.337,
2014-04,0.336,
2014-05,0.369,
2014-06,0.425,
2014-07,0.419,
2014-08,0.408,
2014-09,0.424,
2014-10,0.429,
2014-11,0.454,
2014-12,0.447,
