"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F521._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F521._Z._T.M.N_FLAGS
2006-04,1276.012,
2006-05,1783.639,
2006-06,1726.434,
2006-07,2030.097,
2006-08,1571.073,
2006-09,2033.970,
2006-10,1966.694,
2006-11,2358.892,
2006-12,2394.399,
2007-01,2625.643,
2007-02,1475.573,
2007-03,4968.234,
2007-04,2894.469,
2007-05,2416.870,
2007-06,4750.847,
2007-07,2713.236,
2007-08,5485.804,
2007-09,4235.809,
2007-10,3307.053,
2007-11,4505.522,
2007-12,3821.119,
2008-01,4222.834,
2008-02,2746.918,
2008-03,3285.095,
2008-04,4111.151,
2008-05,3618.729,
2008-06,8284.270,
2008-07,3749.263,
2008-08,2714.484,
2008-09,5981.921,
2008-10,11974.409,
2008-11,3368.644,
2008-12,7126.062,
2009-01,4057.316,
2009-02,4964.604,
2009-03,2978.368,
2009-04,5361.423,
2009-05,4417.121,
2009-06,3381.443,
2009-07,6244.584,
2009-08,4774.613,
2009-09,5924.842,
2009-10,5738.961,
2009-11,3011.115,
2009-12,8782.141,
2010-01,3649.395,
2010-02,3856.469,
2010-03,5832.208,
2010-04,6319.939,
2010-05,11160.497,
2010-06,5402.404,
2010-07,7696.446,
2010-08,5133.162,
2010-09,8735.144,
2010-10,5550.283,
2010-11,4216.289,
2010-12,10892.060,
2011-01,7971.332,
2011-02,9388.116,
2011-03,9098.076,
2011-04,8817.919,
2011-05,9683.050,
2011-06,7439.438,
2011-07,7111.372,
2011-08,10017.207,
2011-09,8202.517,
2011-10,7990.023,
2011-11,10201.477,
2011-12,13582.580,
2012-01,9149.698,
2012-02,8706.635,
2012-03,8498.317,
2012-04,12620.109,
2012-05,8422.170,
2012-06,8124.599,
2012-07,8728.045,
2012-08,7983.759,
2012-09,6579.404,
2012-10,8925.091,
2012-11,9016.917,
2012-12,12928.300,
2013-01,10291.749,
2013-02,7524.981,
2013-03,7891.366,
2013-04,11795.454,
2013-05,8418.342,
2013-06,8646.462,
2013-07,9863.356,
2013-08,6023.912,
2013-09,7527.147,
2013-10,9413.397,
2013-11,5903.472,
2013-12,8225.036,
2014-01,8372.396,
2014-02,6593.503,Provisional value
2014-03,9808.019,Provisional value
2014-04,11485.190,Provisional value
2014-05,9407.405,Provisional value
2014-06,6523.912,Provisional value
2014-07,8533.309,Provisional value
2014-08,6758.637,Provisional value
2014-09,6983.966,
2014-10,9381.710,
2014-11,8733.461,
2014-12,10537.663,Provisional value
