"",BBK01.OEAD28J,BBK01.OEAD28J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:26,
2002-01,0.017,
2002-04,0.018,
2002-07,0.018,
2002-10,0.017,
2003-01,0.014,
2003-04,0.029,
2003-07,0.032,
2003-10,0.032,
2004-01,0.029,
2004-04,0.029,
2004-07,0.030,
2004-10,0.026,
2005-01,0.023,
2005-04,0.024,
2005-07,0.023,
2005-10,0.023,
2006-01,0.013,
2006-04,0.018,
2006-07,0.017,
2006-10,0.013,
2007-01,0.013,
2007-04,0.014,
2007-07,0.035,
2007-10,0.033,
2008-01,0.032,
2008-04,0.044,
2008-07,0.042,
2008-10,0.041,
2009-01,0.015,
2009-04,0.014,
2009-07,0.010,
2009-10,0.009,
2010-01,-0.002,
2010-04,0.007,
2010-07,0.008,
2010-10,0.007,
2011-01,0.007,
2011-04,0.006,
2011-07,0.006,
2011-10,0.010,
2012-01,0.007,
2012-04,0.008,
2012-07,0.007,
2012-10,0.017,
2013-01,0.018,
2013-04,0.017,
2013-07,0.017,
2013-10,0.018,
2014-01,0.017,
2014-04,0.016,
2014-07,0.017,
