"",BBK01.OEBJ10L,BBK01.OEBJ10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:06,
2002-01,1.073,
2002-04,0.976,
2002-07,0.962,
2002-10,0.870,
2003-01,0.834,
2003-04,0.881,
2003-07,0.845,
2003-10,0.347,
2004-01,0.359,
2004-04,0.269,
2004-07,0.254,
2004-10,0.231,
2005-01,0.229,
2005-04,0.223,
2005-07,0.220,
2005-10,0.347,
2006-01,0.337,
2006-04,0.341,
2006-07,0.498,
2006-10,0.489,
2007-01,0.590,
2007-04,0.524,
2007-07,0.532,
2007-10,0.571,
2008-01,0.565,
2008-04,0.556,
2008-07,0.166,
2008-10,0.270,
2009-01,0.289,
2009-04,0.442,
2009-07,0.451,
2009-10,0.450,
2010-01,0.437,
2010-04,0.363,
2010-07,0.325,
2010-10,0.326,
2011-01,0.263,
2011-04,0.545,
2011-07,0.519,
2011-10,0.509,
2012-01,0.324,
2012-04,0.328,
2012-07,0.383,
2012-10,0.331,
2013-01,0.303,
2013-04,0.289,
2013-07,0.272,
2013-10,0.259,
2014-01,0.213,
2014-04,0.197,
2014-07,0.183,
