"",BBK01.WX3041,BBK01.WX3041_FLAGS
"",iBoxx EUR Germany price index / End 1998 = 100 / End of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:11:17,
1998-12,100.00,
1999-01,100.99,
1999-02,99.11,
1999-03,99.30,
1999-04,99.98,
1999-05,98.76,
1999-06,96.61,
1999-07,95.28,
1999-08,94.77,
1999-09,94.03,
1999-10,93.40,
1999-11,93.46,
1999-12,92.52,
2000-01,91.74,
2000-02,91.94,
2000-03,93.00,
2000-04,92.54,
2000-05,92.57,
2000-06,92.49,
2000-07,92.37,
2000-08,91.95,
2000-09,92.22,
2000-10,92.22,
2000-11,92.90,
2000-12,94.11,
2001-01,94.27,
2001-02,94.38,
2001-03,94.69,
2001-04,92.93,
2001-05,92.64,
2001-06,93.02,
2001-07,93.99,
2001-08,94.46,
2001-09,94.71,
2001-10,96.66,
2001-11,95.67,
2001-12,94.16,
2002-01,94.08,
2002-02,93.78,
2002-03,92.27,
2002-04,92.92,
2002-05,92.64,
2002-06,94.08,
2002-07,94.93,
2002-08,95.79,
2002-09,97.31,
2002-10,96.27,
2002-11,96.30,
2002-12,97.80,
2003-01,98.60,
2003-02,99.28,
2003-03,98.49,
2003-04,98.15,
2003-05,100.00,
2003-06,99.50,
2003-07,97.59,
2003-08,97.43,
2003-09,98.57,
2003-10,96.85,
2003-11,96.20,
2003-12,97.09,
2004-01,97.33,
2004-02,98.34,
2004-03,98.93,
2004-04,97.51,
2004-05,96.88,
2004-06,96.84,
2004-07,97.33,
2004-08,98.30,
2004-09,98.34,
2004-10,98.89,
2004-11,99.61,
2004-12,99.89,
2005-01,100.80,
2005-02,99.90,
2005-03,100.14,
2005-04,101.36,
2005-05,102.18,
2005-06,103.01,
2005-07,102.14,
2005-08,102.81,
2005-09,102.33,
2005-10,100.89,
2005-11,100.47,
2005-12,101.09,
2006-01,100.09,
2006-02,99.94,
2006-03,98.21,
2006-04,97.12,
2006-05,97.11,
2006-06,96.49,
2006-07,97.18,
2006-08,97.93,
2006-09,98.19,
2006-10,98.09,
2006-11,98.26,
2006-12,96.69,
2007-01,96.04,
2007-02,96.72,
2007-03,96.03,
2007-04,95.48,
2007-05,94.10,
2007-06,93.33,
2007-07,94.45,
2007-08,94.97,
2007-09,94.63,
2007-10,94.95,
2007-11,95.41,
2007-12,94.62,
2008-01,96.69,
2008-02,97.06,
2008-03,96.19,
2008-04,95.14,
2008-05,93.62,
2008-06,92.62,
2008-07,93.93,
2008-08,94.87,
2008-09,95.63,
2008-10,97.12,
2008-11,100.64,
2008-12,102.06,
2009-01,100.67,
2009-02,101.56,
2009-03,101.72,
2009-04,100.90,
2009-05,99.07,
2009-06,99.89,
2009-07,100.65,
2009-08,100.76,
2009-09,101.01,
2009-10,100.68,
2009-11,101.39,
2009-12,100.12,
2010-01,101.31,
2010-02,102.02,
2010-03,102.01,
2010-04,102.86,
2010-05,105.13,
2010-06,105.41,
2010-07,104.43,
2010-08,108.24,
2010-09,106.61,
2010-10,105.12,
2010-11,104.58,
2010-12,102.95,
2011-01,101.19,
2011-02,101.08,
2011-03,99.73,
2011-04,100.28,
2011-05,101.53,
2011-06,101.08,
2011-07,103.94,
2011-08,105.99,
2011-09,108.24,
2011-10,107.27,
2011-11,106.38,
2011-12,109.53,
2012-01,109.30,
2012-02,109.16,
2012-03,109.00,
2012-04,109.92,
2012-05,113.33,
2012-06,110.09,
2012-07,112.15,
2012-08,111.68,
2012-09,110.85,
2012-10,110.42,
2012-11,110.68,
2012-12,111.18,
2013-01,108.99,
2013-02,110.15,
2013-03,110.99,
2013-04,111.36,
2013-05,109.44,
2013-06,108.15,
2013-07,108.21,
2013-08,106.92,
2013-09,107.48,
2013-10,107.74,
2013-11,107.47,
2013-12,105.92,
2014-01,108.06,
2014-02,107.99,
2014-03,108.16,
2014-04,108.60,
2014-05,109.49,
2014-06,109.92,
2014-07,110.37,
2014-08,112.28,
2014-09,111.89,
2014-10,112.37,
2014-11,113.23,
2014-12,114.37,
2015-01,116.78,
