"",BBK01.OEAH62L,BBK01.OEAH62L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:25,
2002-01,0.442,
2002-04,0.441,
2002-07,0.461,
2002-10,0.463,
2003-01,0.463,
2003-04,0.537,
2003-07,0.563,
2003-10,0.632,
2004-01,0.530,
2004-04,0.474,
2004-07,0.461,
2004-10,0.427,
2005-01,0.483,
2005-04,0.511,
2005-07,0.550,
2005-10,0.547,
2006-01,0.517,
2006-04,0.551,
2006-07,0.575,
2006-10,0.604,
2007-01,0.663,
2007-04,0.698,
2007-07,0.780,
2007-10,1.311,
2008-01,1.501,
2008-04,1.617,
2008-07,1.729,
2008-10,1.851,
2009-01,1.945,
2009-04,1.848,
2009-07,1.861,
2009-10,1.803,
2010-01,1.740,
2010-04,1.642,
2010-07,1.639,
2010-10,1.541,
2011-01,1.530,
2011-04,1.545,
2011-07,1.559,
2011-10,1.774,
2012-01,1.902,
2012-04,2.082,
2012-07,2.116,
2012-10,1.988,
2013-01,2.014,
2013-04,1.970,
2013-07,1.921,
2013-10,1.953,
2014-01,1.994,
2014-04,2.231,
2014-07,2.379,
