"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:02,
2009-09,20360,
2009-10,19314,
2009-11,19604,
2009-12,19731,
2010-01,19599,
2010-02,19814,
2010-03,22029,
2010-04,21810,
2010-05,21072,
2010-06,21176,
2010-07,21623,
2010-08,20939,
2010-09,21839,
2010-10,23213,
2010-11,23000,
2010-12,23923,
2011-01,24532,
2011-02,24915,
2011-03,24368,
2011-04,25467,
2011-05,24091,
2011-06,24343,
2011-07,23554,
2011-08,19190,
2011-09,18352,
2011-10,20458,
2011-11,19487,
2011-12,18845,
2012-01,20284,
2012-02,21314,
2012-03,21569,
2012-04,23272,
2012-05,20220,
2012-06,20253,
2012-07,21549,
2012-08,21871,
2012-09,22360,
2012-10,23063,
2012-11,23635,
2012-12,24772,
2013-01,25587,
2013-02,25583,
2013-03,25746,
2013-04,26305,
2013-05,27409,
2013-06,24877,
2013-07,26554,
2013-08,26155,
2013-09,27362,
2013-10,28601,
2013-11,30750,
2013-12,29977,
2014-01,28413,
2014-02,29318,
2014-03,29013,
2014-04,29967,
2014-05,29014,
2014-06,28470,
2014-07,26643,
2014-08,26762,
2014-09,26698,
2014-10,27381,
2014-11,29508,
