"",BBK01.OEXB18I,BBK01.OEXB18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:15,
2002-01,0.984,
2002-04,0.990,
2002-07,1.014,
2002-10,1.044,
2003-01,0.906,
2003-04,1.009,
2003-07,0.528,
2003-10,0.464,
2004-01,0.392,
2004-04,0.410,
2004-07,0.386,
2004-10,0.363,
2005-01,0.359,
2005-04,0.338,
2005-07,0.410,
2005-10,0.318,
2006-01,0.399,
2006-04,0.362,
2006-07,0.339,
2006-10,0.495,
2007-01,0.499,
2007-04,0.498,
2007-07,0.511,
2007-10,0.469,
2008-01,0.631,
2008-04,0.742,
2008-07,0.845,
2008-10,0.998,
2009-01,0.929,
2009-04,0.911,
2009-07,0.952,
2009-10,0.879,
2010-01,0.971,
2010-04,0.981,
2010-07,0.964,
2010-10,0.858,
2011-01,0.817,
2011-04,0.846,
2011-07,0.818,
2011-10,0.799,
2012-01,0.780,
2012-04,0.861,
2012-07,0.843,
2012-10,0.829,
2013-01,0.787,
2013-04,0.855,
2013-07,0.912,
2013-10,0.976,
2014-01,0.945,
2014-04,0.980,
2014-07,1.027,
