"",BBK01.OEAI03U,BBK01.OEAI03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:21,
2002-01,3.130,
2002-04,2.982,
2002-07,2.926,
2002-10,2.851,
2003-01,2.832,
2003-04,2.696,
2003-07,2.692,
2003-10,2.637,
2004-01,2.663,
2004-04,2.420,
2004-07,2.440,
2004-10,2.423,
2005-01,2.373,
2005-04,2.387,
2005-07,2.458,
2005-10,2.482,
2006-01,2.649,
2006-04,2.664,
2006-07,2.807,
2006-10,2.946,
2007-01,3.294,
2007-04,3.389,
2007-07,3.687,
2007-10,3.852,
2008-01,4.113,
2008-04,4.319,
2008-07,4.814,
2008-10,4.433,
2009-01,3.841,
2009-04,3.494,
2009-07,2.933,
2009-10,2.674,
2010-01,2.516,
2010-04,2.510,
2010-07,2.428,
2010-10,2.465,
2011-01,2.669,
2011-04,2.884,
2011-07,2.961,
2011-10,3.369,
2012-01,3.721,
2012-04,3.669,
2012-07,3.529,
2012-10,3.368,
2013-01,3.219,
2013-04,3.294,
2013-07,3.340,
2013-10,3.204,
2014-01,3.452,
2014-04,3.490,
2014-07,3.157,
