"",BBFB1.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net financial account / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:54,
1991-01,962.575,
1991-02,-186.791,
1991-03,-3138.741,
1991-04,-2758.585,
1991-05,-3060.908,
1991-06,34.453,
1991-07,-4844.598,
1991-08,-2807.274,
1991-09,1224.258,
1991-10,-584.203,
1991-11,4729.267,
1991-12,-1192.066,
1992-01,-3177.714,
1992-02,-1403.451,
1992-03,2059.243,
1992-04,44.453,
1992-05,-2561.393,
1992-06,519.648,
1992-07,171.285,
1992-08,-5353.380,
1992-09,2499.543,
1992-10,-4062.199,
1992-11,239.235,
1992-12,1093.378,
1993-01,-10946.760,
1993-02,-3964.893,
1993-03,-825.583,
1993-04,-2394.038,
1993-05,-1569.591,
1993-06,-1133.822,
1993-07,-5784.065,
1993-08,6182.577,
1993-09,-4761.787,
1993-10,-8804.998,
1993-11,4283.739,
1993-12,6640.303,
1994-01,-16360.798,
1994-02,289.700,
1994-03,586.491,
1994-04,-3600.627,
1994-05,-2899.807,
1994-06,-2336.243,
1994-07,-5489.075,
1994-08,-1994.995,
1994-09,1423.905,
1994-10,-4704.014,
1994-11,-1471.489,
1994-12,4724.606,
1995-01,-4122.981,
1995-02,-4061.617,
1995-03,-1261.279,
1995-04,1032.125,
1995-05,-1337.591,
1995-06,-455.836,
1995-07,-2110.191,
1995-08,-7564.094,
1995-09,-2504.845,
1995-10,-5842.702,
1995-11,3282.385,
1995-12,-2537.423,
1996-01,-10503.469,
1996-02,113.631,
1996-03,4309.869,
1996-04,-7991.379,
1996-05,-626.022,
1996-06,631.406,
1996-07,-3533.626,
1996-08,-6266.795,
1996-09,237.261,
1996-10,-1250.216,
1996-11,-1887.097,
1996-12,10860.236,
1997-01,-7351.984,
1997-02,-1040.066,
1997-03,-3444.871,
1997-04,-735.838,
1997-05,-1987.838,
1997-06,-2901.262,
1997-07,9418.759,
1997-08,-3992.504,
1997-09,2581.299,
1997-10,-5292.098,
1997-11,2977.656,
1997-12,5372.169,
1998-01,-3648.108,
1998-02,3642.387,
1998-03,-3146.524,
1998-04,12131.610,
1998-05,-7322.358,
1998-06,-5046.808,
1998-07,-4791.553,
1998-08,-4773.391,
1998-09,-10939.320,
1998-10,7528.454,
1998-11,-6982.783,
1998-12,7734.694,
1999-01,34721.870,
1999-02,-12712.284,
1999-03,4662.545,
1999-04,-7439.481,
1999-05,-1756.935,
1999-06,-2034.871,
1999-07,201.036,
1999-08,1853.431,
1999-09,-9985.271,
1999-10,-5700.540,
1999-11,24244.692,
1999-12,-21463.992,
2000-01,-345.730,
2000-02,1986.535,
2000-03,-16012.176,
2000-04,-10847.102,
2000-05,-25585.007,
2000-06,-3557.129,
2000-07,-6895.410,
2000-08,13822.615,
2000-09,8724.817,
2000-10,16486.764,
2000-11,-20167.455,
2000-12,-141.945,
2001-01,844.253,
2001-02,-1625.248,
2001-03,-11094.872,
2001-04,-11176.973,
2001-05,-22121.417,
2001-06,13048.148,
2001-07,-4116.678,
2001-08,-3370.569,
2001-09,10833.945,
2001-10,588.226,
2001-11,20567.714,
2001-12,8570.743,
2002-01,-9362.306,
2002-02,5281.830,
2002-03,-2872.368,
2002-04,-9169.291,
2002-05,-4501.692,
2002-06,8009.187,
2002-07,9424.015,
2002-08,-1135.982,
2002-09,2455.781,
2002-10,19529.636,
2002-11,-3007.451,
2002-12,11283.432,
2003-01,142.278,
2003-02,22856.962,
2003-03,-12869.465,
2003-04,5328.734,
2003-05,10819.488,
2003-06,14143.240,
2003-07,-6479.893,
2003-08,7903.788,
2003-09,-7748.803,
2003-10,6339.836,
2003-11,5701.666,
2003-12,17211.011,
2004-01,-1993.934,
2004-02,-2849.362,
2004-03,8595.829,
2004-04,31271.961,
2004-05,15328.431,
2004-06,20964.626,
2004-07,-5878.581,
2004-08,9003.291,
2004-09,25011.707,
2004-10,511.722,
2004-11,19394.586,
2004-12,7745.253,
2005-01,-14615.175,
2005-02,16430.368,
2005-03,25459.205,
2005-04,20845.589,
2005-05,11883.270,
2005-06,15249.861,
2005-07,5277.892,
2005-08,94.578,
2005-09,4910.837,
2005-10,7262.619,
2005-11,16994.244,
2005-12,8571.079,
2006-01,13188.086,
2006-02,14727.282,
2006-03,14777.066,
2006-04,25531.793,
2006-05,22085.820,
2006-06,24750.724,
2006-07,-5085.952,
2006-08,11159.996,
2006-09,21532.178,
2006-10,2923.748,
2006-11,19965.595,
2006-12,12454.215,
2007-01,-875.341,
2007-02,21654.422,
2007-03,20146.609,
2007-04,20806.814,
2007-05,24084.861,
2007-06,20253.192,
2007-07,-791.533,
2007-08,8664.278,
2007-09,18960.679,
2007-10,27741.757,
2007-11,31447.960,
2007-12,21844.530,
2008-01,7783.014,
2008-02,26256.396,
2008-03,27834.849,
2008-04,11151.280,
2008-05,21260.379,
2008-06,16185.367,
2008-07,-498.313,
2008-08,2853.004,
2008-09,11658.706,
2008-10,20696.113,
2008-11,12854.568,
2008-12,10421.871,
2009-01,-14588.104,
2009-02,3496.768,
2009-03,19798.538,
2009-04,9834.071,
2009-05,12227.897,
2009-06,32422.867,
2009-07,5217.883,
2009-08,-1940.126,
2009-09,5440.295,
2009-10,22911.100,
2009-11,16996.162,
2009-12,25033.453,
2010-01,-14610.452,
2010-02,14479.230,
2010-03,21684.504,
2010-04,7687.224,
2010-05,2668.758,
2010-06,13016.214,
2010-07,-15642.454,
2010-08,17181.722,
2010-09,19725.841,
2010-10,-8397.503,
2010-11,27800.103,
2010-12,26438.099,
2011-01,8520.501,
2011-02,21826.994,
2011-03,31845.953,
2011-04,22886.393,
2011-05,18323.850,
2011-06,10582.276,
2011-07,-4916.053,
2011-08,13121.350,
2011-09,4957.103,
2011-10,15953.448,
2011-11,8011.195,
2011-12,9926.173,
2012-01,9348.563,
2012-02,6519.862,
2012-03,17848.399,
2012-04,15061.092,
2012-05,20503.739,
2012-06,10889.267,
2012-07,1700.352,
2012-08,19153.499,
2012-09,31992.308,
2012-10,18058.754,
2012-11,30705.240,
2012-12,31648.932,
2013-01,-9365.448,
2013-02,16619.738,
2013-03,34249.198,
2013-04,22471.427,
2013-05,13502.467,
2013-06,31212.605,
2013-07,10408.620,
2013-08,30077.495,
2013-09,21725.885,
2013-10,19683.974,
2013-11,22382.495,
2013-12,32834.103,
2014-01,4152.705,
2014-02,24450.723,Provisional value
2014-03,38143.263,Provisional value
2014-04,30524.076,Provisional value
2014-05,17189.828,Provisional value
2014-06,16461.070,Provisional value
2014-07,17007.872,Provisional value
2014-08,19787.106,Provisional value
2014-09,42733.684,
2014-10,17311.852,
2014-11,24442.284,
2014-12,29912.842,Provisional value
