"",BBK01.OEAA14K,BBK01.OEAA14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:58,
2002-01,11.265,
2002-04,11.166,
2002-07,11.259,
2002-10,13.751,
2003-01,14.181,
2003-04,15.303,
2003-07,16.824,
2003-10,16.221,
2004-01,16.205,
2004-04,16.837,
2004-07,17.274,
2004-10,15.234,
2005-01,14.567,
2005-04,13.778,
2005-07,14.458,
2005-10,14.236,
2006-01,13.672,
2006-04,13.201,
2006-07,13.204,
2006-10,12.973,
2007-01,11.770,
2007-04,13.202,
2007-07,13.844,
2007-10,14.133,
2008-01,14.850,
2008-04,15.741,
2008-07,17.011,
2008-10,17.712,
2009-01,18.182,
2009-04,18.660,
2009-07,18.146,
2009-10,17.090,
2010-01,17.016,
2010-04,15.338,
2010-07,15.531,
2010-10,15.447,
2011-01,14.823,
2011-04,14.432,
2011-07,15.748,
2011-10,15.455,
2012-01,14.611,
2012-04,14.369,
2012-07,15.477,
2012-10,14.889,
2013-01,15.314,
2013-04,15.663,
2013-07,15.311,
2013-10,15.298,
2014-01,15.467,
2014-04,15.719,
2014-07,15.900,
