"",BBK01.OEAC60N,BBK01.OEAC60N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:11,
2002-01,8.475,
2002-04,8.526,
2002-07,8.529,
2002-10,8.500,
2003-01,8.449,
2003-04,8.427,
2003-07,8.501,
2003-10,8.550,
2004-01,8.458,
2004-04,8.448,
2004-07,8.413,
2004-10,8.254,
2005-01,8.213,
2005-04,8.487,
2005-07,8.432,
2005-10,8.828,
2006-01,9.109,
2006-04,9.127,
2006-07,9.041,
2006-10,9.009,
2007-01,8.904,
2007-04,8.886,
2007-07,8.892,
2007-10,8.848,
2008-01,8.815,
2008-04,8.823,
2008-07,8.797,
2008-10,8.931,
2009-01,8.787,
2009-04,8.708,
2009-07,8.756,
2009-10,8.624,
2010-01,8.753,
2010-04,9.421,
2010-07,9.366,
2010-10,9.362,
2011-01,9.440,
2011-04,9.376,
2011-07,9.397,
2011-10,9.343,
2012-01,9.351,
2012-04,9.391,
2012-07,9.402,
2012-10,9.367,
2013-01,9.339,
2013-04,9.346,
2013-07,9.389,
2013-10,9.279,
2014-01,9.219,
2014-04,9.245,
2014-07,9.253,
