"",BBK01.OECK03G,BBK01.OECK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:50,
2002-01,0.435,
2002-04,0.421,
2002-07,0.553,
2002-10,0.492,
2003-01,0.374,
2003-04,0.312,
2003-07,0.258,
2003-10,0.241,
2004-01,0.214,
2004-04,0.209,
2004-07,0.210,
2004-10,0.221,
2005-01,0.222,
2005-04,0.224,
2005-07,0.247,
2005-10,0.266,
2006-01,0.278,
2006-04,0.288,
2006-07,0.321,
2006-10,0.430,
2007-01,0.448,
2007-04,0.452,
2007-07,0.536,
2007-10,0.699,
2008-01,0.645,
2008-04,0.682,
2008-07,0.765,
2008-10,0.703,
2009-01,0.533,
2009-04,0.609,
2009-07,0.535,
2009-10,0.358,
2010-01,0.235,
2010-04,0.149,
2010-07,0.178,
2010-10,0.169,
2011-01,0.175,
2011-04,0.191,
2011-07,0.204,
2011-10,0.222,
2012-01,0.212,
2012-04,0.199,
2012-07,0.192,
2012-10,0.164,
2013-01,0.152,
2013-04,0.135,
2013-07,0.144,
2013-10,0.142,
2014-01,0.169,
2014-04,0.291,
2014-07,0.264,
