"",BBK01.OEXB18H,BBK01.OEXB18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:07,
2002-01,1.664,
2002-04,1.694,
2002-07,1.562,
2002-10,1.445,
2003-01,1.507,
2003-04,1.519,
2003-07,1.568,
2003-10,1.428,
2004-01,1.555,
2004-04,1.400,
2004-07,1.368,
2004-10,1.320,
2005-01,1.290,
2005-04,1.287,
2005-07,1.308,
2005-10,1.197,
2006-01,1.264,
2006-04,1.316,
2006-07,1.288,
2006-10,1.256,
2007-01,1.262,
2007-04,1.263,
2007-07,1.327,
2007-10,1.370,
2008-01,1.402,
2008-04,1.404,
2008-07,1.397,
2008-10,1.530,
2009-01,1.478,
2009-04,1.458,
2009-07,1.500,
2009-10,1.553,
2010-01,1.517,
2010-04,1.574,
2010-07,1.637,
2010-10,1.519,
2011-01,1.563,
2011-04,1.592,
2011-07,1.646,
2011-10,1.687,
2012-01,1.735,
2012-04,1.771,
2012-07,1.778,
2012-10,1.856,
2013-01,1.022,
2013-04,0.984,
2013-07,0.953,
2013-10,0.980,
2014-01,0.971,
2014-04,1.014,
2014-07,1.069,
