"",BBK01.OECI08Q,BBK01.OECI08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:10,
2002-01,0.560,
2002-04,0.444,
2002-07,0.444,
2002-10,0.493,
2003-01,0.473,
2003-04,0.449,
2003-07,0.513,
2003-10,0.517,
2004-01,0.489,
2004-04,0.477,
2004-07,0.598,
2004-10,1.462,
2005-01,3.077,
2005-04,3.026,
2005-07,3.047,
2005-10,3.020,
2006-01,3.061,
2006-04,2.995,
2006-07,2.910,
2006-10,2.864,
2007-01,2.886,
2007-04,2.835,
2007-07,2.745,
2007-10,2.760,
2008-01,2.741,
2008-04,2.790,
2008-07,2.706,
2008-10,2.704,
2009-01,2.879,
2009-04,3.031,
2009-07,3.197,
2009-10,3.332,
2010-01,3.476,
2010-04,3.456,
2010-07,3.514,
2010-10,3.550,
2011-01,3.488,
2011-04,3.407,
2011-07,3.374,
2011-10,3.374,
2012-01,3.576,
2012-04,3.492,
2012-07,3.477,
2012-10,3.571,
2013-01,3.496,
2013-04,3.442,
2013-07,3.370,
2013-10,3.356,
2014-01,3.318,
2014-04,3.265,
2014-07,3.310,
