"",BBK01.OEAC31I,BBK01.OEAC31I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:51,
2002-01,3.650,
2002-04,3.636,
2002-07,3.360,
2002-10,3.189,
2003-01,2.978,
2003-04,3.076,
2003-07,2.925,
2003-10,2.643,
2004-01,2.563,
2004-04,2.477,
2004-07,2.494,
2004-10,2.821,
2005-01,2.876,
2005-04,2.874,
2005-07,2.918,
2005-10,2.519,
2006-01,2.634,
2006-04,2.699,
2006-07,2.700,
2006-10,2.507,
2007-01,2.568,
2007-04,2.482,
2007-07,2.522,
2007-10,2.464,
2008-01,2.647,
2008-04,3.049,
2008-07,3.418,
2008-10,4.269,
2009-01,4.259,
2009-04,4.848,
2009-07,5.486,
2009-10,5.606,
2010-01,5.991,
2010-04,6.093,
2010-07,5.835,
2010-10,6.488,
2011-01,7.248,
2011-04,7.097,
2011-07,7.224,
2011-10,8.040,
2012-01,8.236,
2012-04,8.581,
2012-07,8.372,
2012-10,8.811,
2013-01,8.783,
2013-04,9.467,
2013-07,8.288,
2013-10,8.062,
2014-01,8.489,
2014-04,8.705,
2014-07,8.878,
