"",BBFN1.M.DE.N.1.L.SG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:12,
1982-09,0.034,
1982-10,0.057,
1982-11,0.056,
1982-12,0.054,
1983-01,0.049,
1983-02,0.048,
1983-03,0.049,
1983-04,0.050,
1983-05,0.050,
1983-06,0.051,
1983-07,0.052,
1983-08,0.051,
1983-09,0.051,
1983-10,0.050,
1983-11,0.050,
1983-12,0.050,
1984-01,0.029,
1984-02,0.029,
1984-03,0.029,
1984-04,0.028,
1984-05,0.028,
1984-06,0.028,
1984-07,0.028,
1984-08,0.079,
1984-09,0.079,
1984-10,0.079,
1984-11,0.079,
1984-12,0.078,
1985-01,0.078,
1985-02,0.078,
1985-03,0.078,
1985-04,0.078,
1985-05,0.078,
1985-06,0.078,
1985-07,0.078,
1985-08,0.053,
1985-09,0.053,
1985-10,0.053,
1985-11,0.065,
1985-12,0.063,
1986-01,0.063,
1986-02,0.063,
1986-03,0.063,
1986-04,0.063,
1986-05,0.063,
1986-06,0.063,
1986-07,0.063,
1986-08,0.063,
1986-09,0.062,
1986-10,0.062,
1986-11,0.062,
1986-12,0.061,
1987-01,0.061,
1987-02,0.061,
1987-03,0.060,
1987-04,0.060,
1987-05,0.060,
1987-06,0.060,
1987-07,0.063,
1987-08,0.063,
1987-09,0.063,
1987-10,0.063,
1987-11,0.063,
1987-12,0.062,
1988-01,0.062,
1988-02,0.063,
1988-03,0.063,
1988-04,0.062,
1988-05,0.062,
1988-06,0.061,
1988-07,0.061,
1988-08,0.061,
1988-09,0.010,
1988-10,0.010,
1988-11,0.010,
1988-12,0.010,
1989-01,.,No value available
1989-02,.,No value available
1989-03,.,No value available
1989-04,.,No value available
1989-05,.,No value available
1989-06,.,No value available
1989-07,.,No value available
1989-08,.,No value available
1989-09,.,No value available
1989-10,.,No value available
1989-11,0.025,
1989-12,0.009,
1990-01,0.009,
1990-02,0.009,
1990-03,0.009,
1990-04,0.009,
1990-05,0.009,
1990-06,0.009,
1990-07,0.009,
1990-08,0.009,
1990-09,0.009,
1990-10,0.009,
1990-11,0.009,
1990-12,0.009,
1991-01,0.009,
1991-02,0.009,
1991-03,0.010,
1991-04,0.010,
