"",BBK01.CEFV30,BBK01.CEFV30_FLAGS
"",long-term savings deposits          debtor: MFI                          creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:46,
1999-01,121.9,
1999-04,115.4,
1999-07,114.1,
1999-10,113.1,
2000-01,115.2,
2000-04,118.8,
2000-07,125.0,
2000-10,126.5,
2001-01,127.4,
2001-04,124.5,
2001-07,122.4,
2001-10,115.9,
2002-01,111.0,
2002-04,108.6,
2002-07,109.2,
2002-10,105.3,
2003-01,101.1,
2003-04,96.3,
2003-07,92.5,
2003-10,91.6,
2004-01,90.6,
2004-04,88.7,
2004-07,89.1,
2004-10,89.9,
2005-01,91.1,
2005-04,90.0,
2005-07,87.2,
2005-10,85.9,
2006-01,88.1,
2006-04,91.4,
2006-07,95.9,
2006-10,101.0,
2007-01,107.2,
2007-04,108.7,
2007-07,111.0,
2007-10,111.7,
2008-01,109.6,
2008-04,107.1,
2008-07,105.4,
2008-10,113.1,
2009-01,114.9,
2009-04,119.3,
2009-07,123.5,
2009-10,122.6,
2010-01,121.0,
2010-04,116.5,
2010-07,110.7,
2010-10,108.0,
2011-01,108.2,
2011-04,107.6,
2011-07,107.5,
2011-10,103.2,
2012-01,101.7,
2012-04,100.1,
2012-07,96.7,
2012-10,91.7,
2013-01,87.7,
2013-04,83.5,
2013-07,80.9,
2013-10,79.8,
2014-01,79.7,
2014-04,78.4,
2014-07,80.6,
