"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CY.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CY.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Cyprus / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:48,
2009-09,178,
2009-10,165,
2009-11,163,
2009-12,164,
2010-01,217,
2010-02,270,
2010-03,261,
2010-04,259,
2010-05,251,
2010-06,258,
2010-07,277,
2010-08,278,
2010-09,273,
2010-10,427,
2010-11,388,
2010-12,384,
2011-01,361,
2011-02,369,
2011-03,361,
2011-04,339,
2011-05,324,
2011-06,292,
2011-07,226,
2011-08,197,
2011-09,213,
2011-10,219,
2011-11,207,
2011-12,189,
2012-01,184,
2012-02,177,
2012-03,157,
2012-04,153,
2012-05,137,
2012-06,128,
2012-07,116,
2012-08,103,
2012-09,101,
2012-10,104,
2012-11,107,
2012-12,104,
2013-01,92,
2013-02,92,
2013-03,54,
2013-04,73,
2013-05,74,
2013-06,47,
2013-07,45,
2013-08,49,
2013-09,51,
2013-10,32,
2013-11,26,
2013-12,32,
2014-01,38,
2014-02,44,
2014-03,44,
2014-04,45,
2014-05,48,
2014-06,58,
2014-07,49,
2014-08,49,
2014-09,49,
2014-10,48,
2014-11,49,
