"",BBK01.OEAN05M,BBK01.OEAN05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:01,
2002-01,10.376,
2002-04,9.951,
2002-07,10.094,
2002-10,9.914,
2003-01,10.040,
2003-04,9.879,
2003-07,9.771,
2003-10,9.781,
2004-01,9.650,
2004-04,9.487,
2004-07,9.242,
2004-10,9.324,
2005-01,9.300,
2005-04,8.916,
2005-07,9.130,
2005-10,9.077,
2006-01,8.898,
2006-04,8.615,
2006-07,8.310,
2006-10,8.168,
2007-01,7.951,
2007-04,7.720,
2007-07,7.419,
2007-10,7.425,
2008-01,7.164,
2008-04,6.987,
2008-07,6.588,
2008-10,6.510,
2009-01,7.025,
2009-04,6.904,
2009-07,7.040,
2009-10,7.168,
2010-01,7.469,
2010-04,7.412,
2010-07,7.415,
2010-10,7.508,
2011-01,7.591,
2011-04,7.652,
2011-07,7.615,
2011-10,7.645,
2012-01,7.784,
2012-04,7.906,
2012-07,8.166,
2012-10,8.431,
2013-01,8.663,
2013-04,8.754,
2013-07,8.931,
2013-10,9.243,
2014-01,9.644,
2014-04,9.794,
2014-07,9.963,
