"",BBK01.OEAH65J,BBK01.OEAH65J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:17,
2002-01,0.098,
2002-04,0.102,
2002-07,0.098,
2002-10,0.081,
2003-01,0.071,
2003-04,0.064,
2003-07,0.060,
2003-10,0.057,
2004-01,0.060,
2004-04,0.057,
2004-07,0.060,
2004-10,0.054,
2005-01,0.058,
2005-04,0.055,
2005-07,0.058,
2005-10,0.059,
2006-01,0.066,
2006-04,0.073,
2006-07,0.098,
2006-10,0.150,
2007-01,0.222,
2007-04,0.259,
2007-07,0.308,
2007-10,0.350,
2008-01,0.395,
2008-04,0.453,
2008-07,0.514,
2008-10,0.526,
2009-01,0.478,
2009-04,0.404,
2009-07,0.333,
2009-10,0.219,
2010-01,0.172,
2010-04,0.151,
2010-07,0.143,
2010-10,0.155,
2011-01,0.182,
2011-04,0.185,
2011-07,0.185,
2011-10,0.189,
2012-01,0.152,
2012-04,0.150,
2012-07,0.142,
2012-10,0.159,
2013-01,0.140,
2013-04,0.125,
2013-07,0.121,
2013-10,0.111,
2014-01,0.100,
2014-04,0.111,
2014-07,0.102,
