"",BBFN1.M.DE.N.1.A.A1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.A1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:14,
1995-01,3.947,
1995-02,3.862,
1995-03,3.616,
1995-04,3.491,
1995-05,3.555,
1995-06,4.096,
1995-07,4.475,
1995-08,4.570,
1995-09,4.572,
1995-10,4.554,
1995-11,4.736,
1995-12,4.716,
1996-01,4.725,
1996-02,4.619,
1996-03,4.607,
1996-04,4.549,
1996-05,4.444,
1996-06,3.692,
1996-07,3.406,
1996-08,3.347,
1996-09,3.313,
1996-10,3.372,
1996-11,3.491,
1996-12,3.648,
1997-01,3.791,
1997-02,3.789,
1997-03,4.158,
1997-04,4.340,
1997-05,4.370,
1997-06,4.426,
1997-07,4.449,
1997-08,4.423,
1997-09,4.660,
1997-10,4.634,
1997-11,4.877,
1997-12,5.159,
1998-01,5.390,
1998-02,5.544,
1998-03,5.664,
1998-04,5.932,
1998-05,5.926,
1998-06,6.009,
1998-07,5.985,
1998-08,6.001,
1998-09,6.238,
1998-10,6.428,
1998-11,7.096,
1998-12,7.457,
1999-01,7.164,
1999-02,7.155,
1999-03,7.179,
1999-04,7.168,
1999-05,7.310,
1999-06,7.371,
1999-07,7.385,
1999-08,7.706,
1999-09,7.801,
1999-10,7.861,
1999-11,8.096,
1999-12,8.225,
2000-01,8.596,
2000-02,8.709,
2000-03,8.817,
2000-04,8.781,
2000-05,10.305,
2000-06,11.569,
2000-07,11.582,
2000-08,11.688,
2000-09,11.673,
2000-10,11.915,
2000-11,11.612,
2000-12,11.907,
2001-01,12.403,
2001-02,12.387,
2001-03,12.384,
2001-04,12.594,
2001-05,12.540,
2001-06,12.656,
2001-07,12.851,
2001-08,12.604,
2001-09,13.531,
2001-10,13.760,
2001-11,13.731,
2001-12,14.374,
2002-01,14.036,
2002-02,20.982,
2002-03,21.185,
2002-04,21.378,
2002-05,21.992,
2002-06,21.407,
2002-07,21.123,
2002-08,21.850,
2002-09,21.019,
2002-10,21.756,
2002-11,21.905,
2002-12,15.858,
2003-01,18.247,
2003-02,18.493,
2003-03,18.453,
2003-04,17.085,
2003-05,16.416,
2003-06,16.398,
2003-07,16.350,
2003-08,16.637,
2003-09,14.401,
2003-10,15.141,
2003-11,14.974,
2003-12,14.688,
2004-01,14.801,
2004-02,14.800,
2004-03,15.002,
2004-04,15.251,
2004-05,15.424,
2004-06,16.147,
2004-07,16.159,
2004-08,16.014,
2004-09,16.032,
2004-10,15.646,
2004-11,15.202,
2004-12,14.557,
2005-01,15.867,
2005-02,15.989,
2005-03,17.189,
2005-04,17.081,
2005-05,17.375,
2005-06,17.930,
2005-07,17.905,
2005-08,16.860,
2005-09,15.513,
2005-10,14.674,
2005-11,16.031,
2005-12,14.951,
2006-01,15.125,
2006-02,15.166,
2006-03,15.373,
2006-04,15.213,
2006-05,15.400,
2006-06,14.882,
2006-07,14.926,
2006-08,14.413,
2006-09,14.279,
2006-10,14.398,
2006-11,13.206,
2006-12,14.311,
2007-01,14.611,
2007-02,14.708,
2007-03,14.582,
2007-04,14.950,
2007-05,15.001,
2007-06,14.626,
2007-07,14.627,
2007-08,15.481,
2007-09,16.706,
2007-10,15.811,
2007-11,15.813,
2007-12,12.460,
2008-01,12.544,
2008-02,12.805,
2008-03,12.810,
2008-04,12.931,
2008-05,13.159,
2008-06,13.386,
2008-07,13.380,
2008-08,13.026,
2008-09,14.038,
2008-10,13.586,
2008-11,14.012,
2008-12,14.452,
2009-01,15.238,
2009-02,15.837,
2009-03,15.123,
2009-04,16.214,
2009-05,14.373,
2009-06,14.286,
2009-07,14.432,
2009-08,14.618,
2009-09,14.197,
2009-10,14.275,
2009-11,14.296,
2009-12,14.422,
2010-01,14.989,
2010-02,15.361,
2010-03,15.830,
2010-04,16.148,
2010-05,16.570,
2010-06,16.656,
2010-07,16.024,
2010-08,16.287,
2010-09,16.589,
2010-10,16.553,
2010-11,16.963,
2010-12,16.741,
2011-01,16.501,
2011-02,16.316,
2011-03,16.573,
2011-04,16.018,
2011-05,16.474,
2011-06,16.715,
2011-07,17.098,
2011-08,16.947,
2011-09,16.722,
2011-10,16.372,
2011-11,17.071,
2011-12,16.419,
2012-01,17.307,
2012-02,17.301,
2012-03,17.538,
2012-04,17.741,
2012-05,18.042,
2012-06,17.921,
2012-07,18.583,
2012-08,18.378,
2012-09,18.229,
2012-10,18.049,
2012-11,18.571,
2012-12,18.675,
2013-01,20.886,
2013-02,21.369,
2013-03,21.038,
2013-04,29.392,
2013-05,29.402,
2013-06,29.670,
2013-07,28.648,
2013-08,29.761,
2013-09,30.422,
2013-10,25.462,
2013-11,25.488,
2013-12,25.454,
2014-01,25.657,
2014-02,26.079,
2014-03,25.623,
2014-04,24.064,
2014-05,26.804,
2014-06,25.236,
2014-07,25.594,
2014-08,25.487,
2014-09,26.345,
2014-10,26.898,
2014-11,26.841,
2014-12,27.184,
"",General: Up to December including Niederl.Antillen,
