"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:59,
1991-01,366.692,
1991-04,221.579,
1991-07,33.999,
1991-10,164.784,
1992-01,293.828,
1992-04,1.820,
1992-07,326.390,
1992-10,69.641,
1993-01,61.326,
1993-04,46.402,
1993-07,-179.131,
1993-10,318.016,
1994-01,-79.842,
1994-04,75.911,
1994-07,44.195,
1994-10,-244.903,
1995-01,-57.939,
1995-04,81.114,
1995-07,5.912,
1995-10,428.923,
1996-01,112.393,
1996-04,-75.769,
1996-07,606.709,
1996-10,51.700,
1997-01,13.013,
1997-04,216.480,
1997-07,279.646,
1997-10,298.747,
1998-01,207.569,
1998-04,38.077,
1998-07,181.214,
1998-10,312.272,
1999-01,-17.675,
1999-04,6.059,
1999-07,436.460,
1999-10,418.345,
2000-01,229.331,
2000-04,199.108,
2000-07,355.437,
2000-10,468.747,
2001-01,646.559,
2001-04,61.164,
2001-07,-289.064,
2001-10,179.341,
2002-01,83.342,
2002-04,274.686,
2002-07,233.710,
2002-10,-267.352,
2003-01,-70.235,
2003-04,542.260,
2003-07,-281.612,
2003-10,-336.865,
2004-01,30.380,
2004-04,164.479,
2004-07,67.405,
2004-10,203.439,
2005-01,76.862,
2005-04,305.857,
2005-07,-254.876,
2005-10,-190.408,
2006-01,954.277,
2006-04,-54.914,
2006-07,-149.561,
2006-10,-356.028,
2007-01,-262.941,
2007-04,311.503,
2007-07,-227.247,
2007-10,436.316,
2008-01,-330.748,
2008-04,391.278,
2008-07,657.490,
2008-10,-77.549,
2009-01,-278.279,
2009-04,-226.403,
2009-07,-41.683,
2009-10,387.620,
2010-01,733.507,
2010-04,776.084,
2010-07,737.271,
2010-10,-84.218,
2011-01,234.068,
2011-04,491.267,
2011-07,300.697,
2011-10,11.221,
2012-01,360.859,
2012-04,377.983,
2012-07,939.352,
2012-10,162.689,
2013-01,608.395,
2013-04,158.456,
2013-07,907.335,
2013-10,1160.339,
2014-01,444.203,Provisional value
2014-04,2048.445,Provisional value
2014-07,551.663,Provisional value
2014-10,671.899,Provisional value
