"",BBK01.OEXB15J,BBK01.OEXB15J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:23,
2002-01,0.093,
2002-04,0.090,
2002-07,0.084,
2002-10,0.083,
2003-01,0.076,
2003-04,0.075,
2003-07,0.072,
2003-10,0.070,
2004-01,0.069,
2004-04,0.069,
2004-07,0.063,
2004-10,0.061,
2005-01,0.059,
2005-04,0.061,
2005-07,0.054,
2005-10,0.054,
2006-01,0.051,
2006-04,0.050,
2006-07,0.049,
2006-10,0.048,
2007-01,0.047,
2007-04,0.048,
2007-07,0.046,
2007-10,0.042,
2008-01,0.041,
2008-04,0.044,
2008-07,0.043,
2008-10,0.040,
2009-01,0.043,
2009-04,0.045,
2009-07,0.044,
2009-10,0.044,
2010-01,0.043,
2010-04,0.042,
2010-07,0.040,
2010-10,0.030,
2011-01,0.031,
2011-04,0.032,
2011-07,0.030,
2011-10,0.026,
2012-01,0.027,
2012-04,0.027,
2012-07,0.026,
2012-10,0.025,
2013-01,0.026,
2013-04,0.026,
2013-07,0.029,
2013-10,0.029,
2014-01,0.027,
2014-04,0.027,
2014-07,0.024,
