"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:44,
1991-01,461.287,
1991-04,494.931,
1991-07,505.047,
1991-10,373.216,
1992-01,11.500,
1992-04,58.714,
1992-07,-89.067,
1992-10,-59.575,
1993-01,-161.436,
1993-04,-177.491,
1993-07,-152.596,
1993-10,-290.795,
1994-01,261.848,
1994-04,178.661,
1994-07,323.069,
1994-10,193.421,
1995-01,-363.740,
1995-04,-398.164,
1995-07,-427.927,
1995-10,-401.423,
1996-01,460.007,
1996-04,522.669,
1996-07,644.539,
1996-10,553.832,
1997-01,736.888,
1997-04,792.177,
1997-07,792.930,
1997-10,778.545,
1998-01,950.704,
1998-04,932.811,
1998-07,937.044,
1998-10,788.937,
1999-01,1233.697,
1999-04,1307.422,
1999-07,1317.825,
1999-10,1290.610,
2000-01,262.159,
2000-04,191.481,
2000-07,290.205,
2000-10,269.760,
2001-01,-2212.146,
2001-04,-397.022,
2001-07,732.609,
2001-10,-1653.067,
2002-01,-400.420,
2002-04,-1998.233,
2002-07,-152.055,
2002-10,-1601.455,
2003-01,-60.666,
2003-04,-646.458,
2003-07,186.894,
2003-10,-631.253,
2004-01,3024.874,
2004-04,334.509,
2004-07,2905.444,
2004-10,2048.550,
2005-01,2456.540,
2005-04,234.051,
2005-07,1857.160,
2005-10,1093.528,
2006-01,3437.636,
2006-04,1535.721,
2006-07,4019.426,
2006-10,2424.423,
2007-01,6703.769,
2007-04,3779.000,
2007-07,3923.818,
2007-10,1275.870,
2008-01,2160.918,
2008-04,-4953.845,
2008-07,-1279.549,
2008-10,-2214.712,
2009-01,2714.496,
2009-04,189.949,
2009-07,4492.346,
2009-10,2735.753,
2010-01,1926.739,
2010-04,535.322,
2010-07,2194.068,
2010-10,-297.605,
2011-01,5048.862,
2011-04,3412.970,
2011-07,5363.565,
2011-10,1222.367,
2012-01,5187.570,
2012-04,3684.839,
2012-07,5290.436,
2012-10,447.835,
2013-01,5003.122,
2013-04,3859.901,
2013-07,6714.890,
2013-10,1800.659,
2014-01,6841.106,Provisional value
2014-04,6136.303,Provisional value
2014-07,6675.810,Provisional value
2014-10,-316.236,Provisional value
