"",BBK01.CEH303,BBK01.CEH303_FLAGS
"",Securities other than shares debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:48,
1991-01,2.6,
1991-04,2.5,
1991-07,3.8,
1991-10,9.6,
1992-01,12.6,
1992-04,13.0,
1992-07,31.5,
1992-10,26.5,
1993-01,16.0,
1993-04,8.1,
1993-07,14.9,
1993-10,33.3,
1994-01,26.7,
1994-04,12.2,
1994-07,11.2,
1994-10,6.9,
1995-01,4.5,
1995-04,2.1,
1995-07,11.4,
1995-10,23.0,
1996-01,24.1,
1996-04,16.8,
1996-07,13.1,
1996-10,12.7,
1997-01,41.9,
1997-04,16.5,
1997-07,19.5,
1997-10,-6.5,
1998-01,40.0,
1998-04,44.7,
1998-07,4.6,
1998-10,40.5,
1999-01,6.8,
1999-04,38.7,
1999-07,26.4,
1999-10,16.4,
2000-01,44.4,
2000-04,21.3,
2000-07,20.5,
2000-10,12.6,
2001-01,21.5,
2001-04,19.0,
2001-07,-4.2,
2001-10,1.0,
2002-01,22.0,
2002-04,14.0,
2002-07,-4.9,
2002-10,-18.5,
2003-01,22.6,
2003-04,4.3,
2003-07,3.4,
2003-10,7.3,
2004-01,55.6,
2004-04,38.2,
2004-07,24.4,
2004-10,0.2,
2005-01,51.4,
2005-04,29.9,
2005-07,-11.4,
2005-10,1.6,
2006-01,25.9,
2006-04,24.0,
2006-07,-2.6,
2006-10,21.2,
2007-01,51.6,
2007-04,34.0,
2007-07,14.2,
2007-10,41.4,
2008-01,27.4,
2008-04,38.2,
2008-07,3.4,
2008-10,4.1,
2009-01,1.0,
2009-04,29.9,
2009-07,0.8,
2009-10,-17.0,
2010-01,12.4,
2010-04,-24.4,
2010-07,-28.6,
2010-10,-26.0,
2011-01,-6.9,
2011-04,-15.2,
2011-07,-8.5,
2011-10,-14.8,
2012-01,3.9,
2012-04,-18.3,
2012-07,-5.4,
2012-10,-15.1,
2013-01,-18.8,
2013-04,-2.4,
2013-07,-11.0,
2013-10,-0.5,
2014-01,-5.0,
