"",BBK01.OECM02G,BBK01.OECM02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:28,
2002-01,0.055,
2002-04,0.122,
2002-07,0.099,
2002-10,0.096,
2003-01,0.080,
2003-04,0.143,
2003-07,0.060,
2003-10,0.096,
2004-01,0.074,
2004-04,0.225,
2004-07,0.071,
2004-10,0.079,
2005-01,0.388,
2005-04,0.592,
2005-07,0.259,
2005-10,0.265,
2006-01,0.425,
2006-04,0.489,
2006-07,0.446,
2006-10,0.565,
2007-01,0.598,
2007-04,0.526,
2007-07,0.495,
2007-10,0.354,
2008-01,0.279,
2008-04,0.508,
2008-07,0.458,
2008-10,0.425,
2009-01,1.097,
2009-04,0.943,
2009-07,1.336,
2009-10,1.210,
2010-01,0.672,
2010-04,1.264,
2010-07,0.724,
2010-10,0.744,
2011-01,0.549,
2011-04,0.876,
2011-07,0.643,
2011-10,0.844,
2012-01,0.618,
2012-04,0.836,
2012-07,0.565,
2012-10,0.678,
2013-01,0.455,
2013-04,0.683,
2013-07,0.351,
2013-10,0.355,
2014-01,0.213,
2014-04,0.703,
2014-07,0.273,
