"",BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:59,
1991-01,-111.760,
1991-04,23.851,
1991-07,56.198,
1991-10,4.189,
1992-01,26.166,
1992-04,-57.140,
1992-07,-112.069,
1992-10,-45.030,
1993-01,-4.633,
1993-04,19.170,
1993-07,31.300,
1993-10,26.600,
1994-01,15.794,
1994-04,34.128,
1994-07,34.324,
1994-10,24.840,
1995-01,17.641,
1995-04,-50.332,
1995-07,65.185,
1995-10,17.810,
1996-01,10.781,
1996-04,45.985,
1996-07,49.645,
1996-10,9.943,
1997-01,-9.920,
1997-04,42.950,
1997-07,-9.734,
1997-10,97.958,
1998-01,-34.025,
1998-04,22.433,
1998-07,110.684,
1998-10,57.655,
1999-01,188.320,
1999-04,30.016,
1999-07,-37.784,
1999-10,-1.828,
2000-01,1.789,
2000-04,-102.346,
2000-07,-0.071,
2000-10,-23.073,
2001-01,156.659,
2001-04,-357.529,
2001-07,-220.235,
2001-10,-46.059,
2002-01,4.532,
2002-04,-0.506,
2002-07,-16.072,
2002-10,-70.648,
2003-01,-27.382,
2003-04,-0.899,
2003-07,-22.001,
2003-10,0.018,
2004-01,-15.088,
2004-04,0.413,
2004-07,60.571,
2004-10,-5.917,
2005-01,-1.924,
2005-04,-1.646,
2005-07,-16.381,
2005-10,-1.506,
2006-01,-10.287,
2006-04,48.610,
2006-07,5.687,
2006-10,-0.010,
2007-01,-9.324,
2007-04,-85.446,
2007-07,-0.614,
2007-10,-32.583,
2008-01,-1.040,
2008-04,48.504,
2008-07,-1.020,
2008-10,-0.385,
2009-01,-0.970,
2009-04,-44.871,
2009-07,-0.875,
2009-10,1.624,
2010-01,0.073,
2010-04,-0.244,
2010-07,4.207,
2010-10,11.286,
2011-01,2.402,
2011-04,-1.326,
2011-07,-4.367,
2011-10,-5.607,
2012-01,-0.035,
2012-04,-0.243,
2012-07,4.993,
2012-10,4.484,
2013-01,-1.953,
2013-04,8.519,
2013-07,78.475,
2013-10,20.974,
2014-01,-5.341,Provisional value
2014-04,84.264,Provisional value
2014-07,28.660,Provisional value
2014-10,39.225,Provisional value
