"",BBK01.OEHI01T,BBK01.OEHI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:30,
2002-01,15.615,
2002-04,15.544,
2002-07,15.620,
2002-10,16.144,
2003-01,15.946,
2003-04,15.708,
2003-07,15.628,
2003-10,16.090,
2004-01,15.990,
2004-04,15.811,
2004-07,15.732,
2004-10,16.133,
2005-01,15.898,
2005-04,15.829,
2005-07,15.768,
2005-10,16.113,
2006-01,15.900,
2006-04,15.821,
2006-07,15.841,
2006-10,16.142,
2007-01,15.975,
2007-04,15.869,
2007-07,15.847,
2007-10,16.258,
2008-01,16.049,
2008-04,15.998,
2008-07,15.945,
2008-10,16.518,
2009-01,16.330,
2009-04,16.471,
2009-07,16.486,
2009-10,16.864,
2010-01,16.742,
2010-04,16.865,
2010-07,16.833,
2010-10,17.213,
2011-01,17.028,
2011-04,17.023,
2011-07,17.069,
2011-10,17.398,
2012-01,17.189,
2012-04,17.316,
2012-07,17.425,
2012-10,17.741,
2013-01,17.625,
2013-04,17.767,
2013-07,17.948,
2013-10,18.220,
2014-01,18.152,
2014-04,18.213,
2014-07,18.280,
