"",BBK01.OECB12R,BBK01.OECB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:38,
2002-01,0.900,
2002-04,0.884,
2002-07,0.857,
2002-10,0.857,
2003-01,0.657,
2003-04,0.645,
2003-07,0.626,
2003-10,0.636,
2004-01,0.599,
2004-04,0.574,
2004-07,0.550,
2004-10,0.621,
2005-01,0.665,
2005-04,0.634,
2005-07,0.636,
2005-10,0.607,
2006-01,0.577,
2006-04,0.552,
2006-07,0.519,
2006-10,0.484,
2007-01,0.468,
2007-04,0.442,
2007-07,0.434,
2007-10,0.434,
2008-01,0.432,
2008-04,0.435,
2008-07,0.423,
2008-10,0.568,
2009-01,0.553,
2009-04,0.537,
2009-07,0.518,
2009-10,0.604,
2010-01,0.607,
2010-04,0.581,
2010-07,0.579,
2010-10,0.587,
2011-01,0.612,
2011-04,0.595,
2011-07,0.595,
2011-10,0.605,
2012-01,0.619,
2012-04,0.623,
2012-07,0.630,
2012-10,0.634,
2013-01,0.636,
2013-04,0.636,
2013-07,0.645,
2013-10,0.640,
2014-01,0.634,
2014-04,0.652,
2014-07,0.637,
