"",BBK01.OEBO03T,BBK01.OEBO03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:43,
2002-01,0.358,
2002-04,0.482,
2002-07,0.230,
2002-10,0.220,
2003-01,0.290,
2003-04,0.248,
2003-07,0.233,
2003-10,0.252,
2004-01,0.274,
2004-04,0.221,
2004-07,0.222,
2004-10,0.199,
2005-01,0.326,
2005-04,0.302,
2005-07,0.287,
2005-10,0.280,
2006-01,0.362,
2006-04,0.320,
2006-07,0.323,
2006-10,0.346,
2007-01,0.441,
2007-04,0.332,
2007-07,0.331,
2007-10,0.347,
2008-01,0.409,
2008-04,0.374,
2008-07,0.342,
2008-10,0.449,
2009-01,0.412,
2009-04,0.348,
2009-07,0.342,
2009-10,0.423,
2010-01,0.414,
2010-04,0.266,
2010-07,0.222,
2010-10,0.250,
2011-01,0.311,
2011-04,0.307,
2011-07,0.298,
2011-10,0.262,
2012-01,0.338,
2012-04,0.261,
2012-07,0.256,
2012-10,0.264,
2013-01,0.365,
2013-04,0.256,
2013-07,0.211,
2013-10,0.186,
2014-01,0.210,
2014-04,0.171,
2014-07,0.196,
