"",BBK01.CEHP0C,BBK01.CEHP0C_FLAGS
"",Time deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:52,
1991-01,2.1,
1991-04,3.4,
1991-07,2.4,
1991-10,0.8,
1992-01,2.3,
1992-04,1.6,
1992-07,1.2,
1992-10,2.2,
1993-01,1.6,
1993-04,3.7,
1993-07,0.0,
1993-10,3.8,
1994-01,-2.5,
1994-04,0.0,
1994-07,-0.6,
1994-10,-0.6,
1995-01,-0.4,
1995-04,0.0,
1995-07,-0.5,
1995-10,2.5,
1996-01,-2.5,
1996-04,-0.3,
1996-07,-2.8,
1996-10,2.4,
1997-01,1.0,
1997-04,0.0,
1997-07,0.0,
1997-10,1.7,
1998-01,-0.4,
1998-04,4.5,
1998-07,-0.7,
1998-10,-1.3,
1999-01,-3.6,
1999-04,2.5,
1999-07,-1.3,
1999-10,9.7,
2000-01,-4.8,
2000-04,12.2,
2000-07,34.3,
2000-10,2.0,
2001-01,-34.3,
2001-04,-1.6,
2001-07,-2.9,
2001-10,-1.5,
2002-01,-6.9,
2002-04,0.3,
2002-07,-7.3,
2002-10,-1.8,
2003-01,-1.4,
2003-04,3.7,
2003-07,-4.0,
2003-10,0.8,
2004-01,-3.6,
2004-04,2.2,
2004-07,-1.4,
2004-10,-1.9,
2005-01,-8.8,
2005-04,2.6,
2005-07,-0.1,
2005-10,8.2,
2006-01,-7.2,
2006-04,23.6,
2006-07,13.9,
2006-10,-3.7,
2007-01,-11.1,
2007-04,34.7,
2007-07,-25.9,
2007-10,12.6,
2008-01,-3.0,
2008-04,19.0,
2008-07,-11.1,
2008-10,-4.2,
2009-01,-20.1,
2009-04,18.4,
2009-07,-31.9,
2009-10,-1.6,
2010-01,1.5,
2010-04,-0.9,
2010-07,6.7,
2010-10,34.1,
2011-01,-4.7,
2011-04,17.2,
2011-07,4.3,
2011-10,10.5,
2012-01,1.6,
2012-04,20.1,
2012-07,-2.6,
2012-10,-23.5,
2013-01,-9.5,
2013-04,0.0,
2013-07,-2.7,
2013-10,5.8,
2014-01,3.4,
