"",BBK01.OEHB19L,BBK01.OEHB19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:51,
2002-01,1.067,
2002-04,1.070,
2002-07,1.059,
2002-10,1.076,
2003-01,1.062,
2003-04,1.054,
2003-07,1.054,
2003-10,1.047,
2004-01,1.026,
2004-04,1.021,
2004-07,1.016,
2004-10,0.993,
2005-01,0.967,
2005-04,0.950,
2005-07,0.939,
2005-10,0.907,
2006-01,0.872,
2006-04,0.869,
2006-07,0.869,
2006-10,0.857,
2007-01,0.828,
2007-04,0.813,
2007-07,0.814,
2007-10,0.795,
2008-01,0.785,
2008-04,0.766,
2008-07,0.761,
2008-10,0.738,
2009-01,0.719,
2009-04,0.724,
2009-07,0.724,
2009-10,0.727,
2010-01,0.712,
2010-04,0.729,
2010-07,0.734,
2010-10,0.726,
2011-01,0.707,
2011-04,0.711,
2011-07,0.721,
2011-10,0.711,
2012-01,0.710,
2012-04,0.719,
2012-07,0.725,
2012-10,0.727,
2013-01,0.710,
2013-04,0.718,
2013-07,0.731,
2013-10,0.713,
2014-01,0.699,
2014-04,0.700,
2014-07,0.693,
