"",BBK01.OEAH93G,BBK01.OEAH93G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:40,
2002-01,0.112,
2002-04,0.139,
2002-07,0.148,
2002-10,0.152,
2003-01,0.170,
2003-04,0.170,
2003-07,0.187,
2003-10,0.188,
2004-01,0.196,
2004-04,0.181,
2004-07,0.164,
2004-10,0.222,
2005-01,0.219,
2005-04,0.336,
2005-07,0.319,
2005-10,0.303,
2006-01,0.262,
2006-04,0.272,
2006-07,0.280,
2006-10,0.257,
2007-01,0.191,
2007-04,0.207,
2007-07,0.197,
2007-10,0.275,
2008-01,0.298,
2008-04,0.364,
2008-07,0.469,
2008-10,0.573,
2009-01,0.514,
2009-04,0.462,
2009-07,0.396,
2009-10,0.263,
2010-01,0.239,
2010-04,0.163,
2010-07,0.183,
2010-10,0.178,
2011-01,0.285,
2011-04,0.297,
2011-07,0.293,
2011-10,0.288,
2012-01,0.273,
2012-04,0.268,
2012-07,0.261,
2012-10,0.235,
2013-01,0.113,
2013-04,0.093,
2013-07,0.137,
2013-10,0.129,
2014-01,0.121,
2014-04,0.119,
2014-07,0.107,
