"",BBK01.OEAF25R,BBK01.OEAF25R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:43,
2002-01,0.186,
2002-04,0.183,
2002-07,0.181,
2002-10,0.200,
2003-01,0.198,
2003-04,0.208,
2003-07,0.204,
2003-10,0.197,
2004-01,0.187,
2004-04,0.183,
2004-07,0.179,
2004-10,0.176,
2005-01,0.170,
2005-04,0.170,
2005-07,0.170,
2005-10,0.170,
2006-01,0.170,
2006-04,0.175,
2006-07,0.177,
2006-10,0.178,
2007-01,0.174,
2007-04,0.171,
2007-07,0.173,
2007-10,0.171,
2008-01,0.169,
2008-04,0.167,
2008-07,0.168,
2008-10,0.165,
2009-01,0.168,
2009-04,0.169,
2009-07,0.165,
2009-10,0.161,
2010-01,0.157,
2010-04,0.165,
2010-07,0.164,
2010-10,0.161,
2011-01,0.160,
2011-04,0.159,
2011-07,0.156,
2011-10,0.147,
2012-01,0.143,
2012-04,0.147,
2012-07,0.161,
2012-10,0.159,
2013-01,0.156,
2013-04,0.158,
2013-07,0.165,
2013-10,0.160,
2014-01,0.163,
2014-04,0.164,
2014-07,0.167,
