"",BBK01.OEAH18G,BBK01.OEAH18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:12,
2002-01,36.345,
2002-04,36.819,
2002-07,37.036,
2002-10,36.773,
2003-01,35.110,
2003-04,33.453,
2003-07,30.533,
2003-10,30.957,
2004-01,29.104,
2004-04,28.023,
2004-07,27.658,
2004-10,29.038,
2005-01,24.201,
2005-04,24.338,
2005-07,24.745,
2005-10,26.675,
2006-01,27.363,
2006-04,27.268,
2006-07,30.380,
2006-10,33.804,
2007-01,34.437,
2007-04,39.339,
2007-07,44.259,
2007-10,51.139,
2008-01,53.351,
2008-04,61.286,
2008-07,74.537,
2008-10,76.826,
2009-01,72.692,
2009-04,60.049,
2009-07,51.900,
2009-10,52.641,
2010-01,39.276,
2010-04,39.818,
2010-07,43.830,
2010-10,39.276,
2011-01,45.850,
2011-04,45.066,
2011-07,44.282,
2011-10,41.496,
2012-01,40.962,
2012-04,42.722,
2012-07,40.598,
2012-10,38.496,
2013-01,32.996,
2013-04,27.496,
2013-07,24.330,
2013-10,27.388,
2014-01,25.881,
2014-04,28.759,
2014-07,29.321,
