"",BBFI1.M.N.DE.W0.S121.S1.FP.FI.RT11.RT.FR6.TS.X1.N.N,BBFI1.M.N.DE.W0.S121.S1.FP.FI.RT11.RT.FR6.TS.X1.N.N_FLAGS
"","Reserve template (mthly.) - Currency, loans, securities and deposits - Future Flows, predetermined",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:15,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,-,Nothing exists
2015-01,-,Nothing exists
