"",BBK01.OEBB12R,BBK01.OEBB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:29,
2002-01,2.489,
2002-04,2.520,
2002-07,2.537,
2002-10,2.564,
2003-01,2.362,
2003-04,2.385,
2003-07,2.388,
2003-10,2.459,
2004-01,2.445,
2004-04,2.418,
2004-07,2.443,
2004-10,2.426,
2005-01,2.483,
2005-04,2.482,
2005-07,2.549,
2005-10,2.563,
2006-01,2.590,
2006-04,2.624,
2006-07,2.658,
2006-10,2.776,
2007-01,2.813,
2007-04,2.817,
2007-07,2.847,
2007-10,3.021,
2008-01,6.257,
2008-04,3.403,
2008-07,3.416,
2008-10,3.655,
2009-01,3.648,
2009-04,3.731,
2009-07,3.807,
2009-10,4.081,
2010-01,4.192,
2010-04,4.288,
2010-07,4.468,
2010-10,4.624,
2011-01,4.750,
2011-04,4.841,
2011-07,4.928,
2011-10,5.139,
2012-01,5.268,
2012-04,5.366,
2012-07,5.513,
2012-10,5.680,
2013-01,5.749,
2013-04,5.855,
2013-07,5.942,
2013-10,6.139,
2014-01,6.230,
2014-04,6.127,
2014-07,6.181,
