"",BBK01.OEAH52M,BBK01.OEAH52M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:56,
2002-01,0.227,
2002-04,0.220,
2002-07,0.215,
2002-10,0.205,
2003-01,0.202,
2003-04,0.206,
2003-07,0.207,
2003-10,0.207,
2004-01,0.203,
2004-04,0.203,
2004-07,0.214,
2004-10,0.262,
2005-01,0.262,
2005-04,0.231,
2005-07,0.225,
2005-10,0.228,
2006-01,0.227,
2006-04,0.228,
2006-07,0.225,
2006-10,0.220,
2007-01,0.214,
2007-04,0.198,
2007-07,0.192,
2007-10,0.192,
2008-01,0.200,
2008-04,0.195,
2008-07,0.193,
2008-10,0.214,
2009-01,0.296,
2009-04,0.335,
2009-07,0.362,
2009-10,0.431,
2010-01,0.484,
2010-04,0.496,
2010-07,0.497,
2010-10,0.503,
2011-01,0.504,
2011-04,0.531,
2011-07,0.531,
2011-10,0.532,
2012-01,0.508,
2012-04,0.495,
2012-07,0.480,
2012-10,0.432,
2013-01,0.337,
2013-04,0.299,
2013-07,0.282,
2013-10,0.283,
2014-01,0.264,
2014-04,0.215,
2014-07,0.199,
