"",BBK01.OELI03V,BBK01.OELI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:43,
2002-01,1.477,
2002-04,1.422,
2002-07,1.442,
2002-10,1.493,
2003-01,1.481,
2003-04,1.379,
2003-07,1.390,
2003-10,1.374,
2004-01,1.275,
2004-04,1.166,
2004-07,1.200,
2004-10,1.328,
2005-01,1.319,
2005-04,1.308,
2005-07,1.266,
2005-10,1.337,
2006-01,1.302,
2006-04,1.365,
2006-07,1.346,
2006-10,1.333,
2007-01,1.332,
2007-04,1.401,
2007-07,1.388,
2007-10,1.490,
2008-01,1.528,
2008-04,1.589,
2008-07,1.622,
2008-10,1.682,
2009-01,1.531,
2009-04,1.266,
2009-07,1.159,
2009-10,1.134,
2010-01,1.084,
2010-04,1.016,
2010-07,1.014,
2010-10,1.030,
2011-01,1.044,
2011-04,1.266,
2011-07,1.233,
2011-10,1.143,
2012-01,1.059,
2012-04,1.025,
2012-07,0.947,
2012-10,0.991,
2013-01,1.095,
2013-04,1.012,
2013-07,1.030,
2013-10,1.032,
2014-01,1.115,
2014-04,1.059,
2014-07,1.059,
