"",BBK01.CEBHN0,BBK01.CEBHN0_FLAGS
"",Shares debtor:  Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:59,
1991-01,103.6,
1991-04,103.2,
1991-07,115.1,
1991-10,97.9,
1992-01,100.6,
1992-04,105.0,
1992-07,102.4,
1992-10,104.8,
1993-01,110.1,
1993-04,113.3,
1993-07,117.9,
1993-10,122.0,
1994-01,122.4,
1994-04,118.2,
1994-07,123.5,
1994-10,131.8,
1995-01,135.1,
1995-04,139.6,
1995-07,141.3,
1995-10,151.2,
1996-01,159.4,
1996-04,162.4,
1996-07,177.3,
1996-10,184.9,
1997-01,211.8,
1997-04,238.6,
1997-07,283.0,
1997-10,269.6,
1998-01,341.3,
1998-04,358.1,
1998-07,322.5,
1998-10,400.3,
1999-01,469.9,
1999-04,506.7,
1999-07,515.1,
1999-10,633.6,
2000-01,670.9,
2000-04,702.8,
2000-07,753.9,
2000-10,729.3,
2001-01,624.6,
2001-04,692.8,
2001-07,592.7,
2001-10,661.3,
2002-01,674.5,
2002-04,597.0,
2002-07,467.9,
2002-10,484.8,
2003-01,415.6,
2003-04,447.1,
2003-07,455.3,
2003-10,516.8,
2004-01,501.4,
2004-04,523.4,
2004-07,527.1,
2004-10,548.8,
2005-01,571.1,
2005-04,596.9,
2005-07,635.1,
2005-10,711.3,
2006-01,794.2,
2006-04,748.1,
2006-07,774.5,
2006-10,768.6,
2007-01,761.9,
2007-04,780.6,
2007-07,752.1,
2007-10,732.0,
2008-01,669.2,
2008-04,649.5,
2008-07,621.1,
2008-10,548.3,
2009-01,538.1,
2009-04,562.2,
2009-07,593.8,
2009-10,614.1,
2010-01,629.3,
2010-04,631.3,
2010-07,640.4,
2010-10,674.4,
2011-01,677.3,
2011-04,686.6,
2011-07,650.5,
2011-10,675.2,
2012-01,692.6,
2012-04,681.0,
2012-07,704.4,
2012-10,730.0,
2013-01,760.5,
2013-04,768.0,
2013-07,799.3,
2013-10,817.2,
2014-01,836.2,
