"",BBK01.WU0181,BBK01.WU0181_FLAGS
"",Change in domestic public limited companies?capital due to exchange of convertible bonds /Increase,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-09 06:39:40,
1957-01,1,
1957-02,2,
1957-03,1,
1957-04,-,Nothing exists
1957-05,-,Nothing exists
1957-06,-,Nothing exists
1957-07,13,
1957-08,-,Nothing exists
1957-09,1,
1957-10,0,
1957-11,1,
1957-12,1,
1958-01,-,Nothing exists
1958-02,1,
1958-03,1,
1958-04,-,Nothing exists
1958-05,-,Nothing exists
1958-06,1,
1958-07,2,
1958-08,1,
1958-09,-,Nothing exists
1958-10,2,
1958-11,-,Nothing exists
1958-12,-,Nothing exists
1959-01,-,Nothing exists
1959-02,-,Nothing exists
1959-03,4,
1959-04,-,Nothing exists
1959-05,-,Nothing exists
1959-06,-,Nothing exists
1959-07,1,
1959-08,9,
1959-09,-,Nothing exists
1959-10,1,
1959-11,1,
1959-12,-,Nothing exists
1960-01,1,
1960-02,1,
1960-03,0,
1960-04,1,
1960-05,0,
1960-06,-,Nothing exists
1960-07,-,Nothing exists
1960-08,-,Nothing exists
1960-09,-,Nothing exists
1960-10,-,Nothing exists
1960-11,-,Nothing exists
1960-12,1,
1961-01,4,
1961-02,1,
1961-03,-,Nothing exists
1961-04,0,
1961-05,1,
1961-06,-,Nothing exists
1961-07,-,Nothing exists
1961-08,-,Nothing exists
1961-09,-,Nothing exists
1961-10,-,Nothing exists
1961-11,-,Nothing exists
1961-12,1,
1962-01,3,
1962-02,1,
1962-03,1,
1962-04,1,
1962-05,-,Nothing exists
1962-06,-,Nothing exists
1962-07,1,
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,6,
1963-01,1,
1963-02,0,
1963-03,-,Nothing exists
1963-04,0,
1963-05,1,
1963-06,-,Nothing exists
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,-,Nothing exists
1964-01,12,
1964-02,2,
1964-03,0,
1964-04,1,
1964-05,-,Nothing exists
1964-06,-,Nothing exists
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,0,
1964-12,7,
1965-01,7,
1965-02,0,
1965-03,0,
1965-04,1,
1965-05,-,Nothing exists
1965-06,1,
1965-07,-,Nothing exists
1965-08,-,Nothing exists
1965-09,-,Nothing exists
1965-10,0,
1965-11,-,Nothing exists
1965-12,-,Nothing exists
1966-01,-,Nothing exists
1966-02,-,Nothing exists
1966-03,-,Nothing exists
1966-04,7,
1966-05,2,
1966-06,0,
1966-07,-,Nothing exists
1966-08,-,Nothing exists
1966-09,-,Nothing exists
1966-10,-,Nothing exists
1966-11,-,Nothing exists
1966-12,-,Nothing exists
1967-01,1,
1967-02,-,Nothing exists
1967-03,1,
1967-04,-,Nothing exists
1967-05,0,
1967-06,-,Nothing exists
1967-07,-,Nothing exists
1967-08,-,Nothing exists
1967-09,-,Nothing exists
1967-10,-,Nothing exists
1967-11,-,Nothing exists
1967-12,-,Nothing exists
1968-01,-,Nothing exists
1968-02,0,
1968-03,-,Nothing exists
1968-04,-,Nothing exists
1968-05,-,Nothing exists
1968-06,-,Nothing exists
1968-07,3,
1968-08,-,Nothing exists
1968-09,6,
1968-10,5,
1968-11,2,
1968-12,8,
1969-01,0,
1969-02,-,Nothing exists
1969-03,-,Nothing exists
1969-04,-,Nothing exists
1969-05,-,Nothing exists
1969-06,2,
1969-07,-,Nothing exists
1969-08,-,Nothing exists
1969-09,-,Nothing exists
1969-10,6,
1969-11,3,
1969-12,40,
